Common Name,Scientific Name,Asmt Year,Stock Assessment Area,Stock Status Area,Council,Council Abbv,FMP,Assessment Model,Assessment Model Type,Science Center Region,Rebuilding Program Status,SI.stock.boundaries,SI.data.prep,SI.model,SI.sci.advice,SI.other,NOAA.Region.Name,NMFS.Name,Ave.Metric.Tons_Commercial,Ave.Metric.Tons_Recreational,Ave.Dollars.Adj_Commercial,Ecological,Schooling,Max Length.m,Transboundary
Sea scallop,Placopecten magellanicus,2020,Northwestern Atlantic Coast,Northwestern Atlantic Coast,New England Fisheries Management Council,NEFMC,Atlantic Sea Scallop FMP,CASA,4,Northeast,0,0,1,0,1,0,New England,"SCALLOP, SEA",14396.6667,NA,374270945,"demersal/benthic, planktivorous",0,0.2,1
Sharpchin rockfish,Sebastes zacentrus,2023,Gulf of Alaska,Gulf of Alaska,North Pacific Fisheries Management Council,NPFMC,Gulf of Alaska Groundfish FMP,Index Method,2,Alaska,0,0,1,1,1,NA,Alaska,ROCKFISHES,12938.375,NA,9704091,bathydemersal,0,0.39,1
Sharpchin rockfish,Sebastes zacentrus,2013,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,Extended Simple Stock Synthesis,4,Northwest,0,0,1,1,1,NA,Pacific Coast,"ROCKFISH, SHARPCHIN",11.75,NA,7369.51048,bathydemersal,0,0.39,1
Shortbelly rockfish,Sebastes jordani,2007,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,0,0,0,0,0,0,Pacific Coast,"ROCKFISH, SHORTBELLY",113.421053,NA,3706.35089,"demersal/benthic, piscivorous/omnivorous",0,0.32,1
Shortfin mako,Isurus oxyrinchus,2017,Atlantic,Atlantic,Highly Migratory Species; International Convention for the Conservation of Atlantic Tuna,"NOAA HMS, ICCAT",Atlantic/Gulf HMS FMP,"JABBA, SS3","2, 4",Southeast,1,1,1,0,0,0,"NOAA HMS, ICCAT","SHARK, MAKO, SHORTFIN",86.986892,949.1447,297419.18,"pelagic-oceanic, piscivorous/omnivorous",0,4.45,1
Shortfin mako,Isurus oxyrinchus,2018,North Pacific,North Pacific,,PFMC-WPFMC,U.S. West Coast Fisheries for Highly Migratory Species / Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem,"Production Model, SS3","2, 4",Pacific Islands,0,1,1,0,0,1,Hawaii,"SHARK, MAKO, SHORTFIN",47.25,NA,118939.154,"pelagic-oceanic, piscivorous/omnivorous",0,4.45,1
Shortraker rockfish,Sebastes borealis,2022,Bering Sea / Aleutian Islands,Bering Sea / Aleutian Islands,North Pacific Fisheries Management Council,NPFMC,Bering Sea/Aleutian Islands Groundfish FMP,Index Method,2,Alaska,0,0,1,0,1,0,Alaska,ROCKFISHES,12938.375,NA,9704091,bathydemersal,0,1.08,1
Shortraker rockfish,Sebastes borealis,2023,Gulf of Alaska,Gulf of Alaska,North Pacific Fisheries Management Council,NPFMC,Gulf of Alaska Groundfish FMP,Index Method,2,Alaska,0,0,1,0,1,0,Alaska,ROCKFISHES,12938.375,NA,9704091,bathydemersal,0,1.08,1
Shortraker rockfish,Sebastes borealis,2010,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,DB-SRA,1,"Northwest, Southwest",0,0,0,0,0,0,Pacific Coast,"ROCKFISH, SHORTRAKER",15.55,NA,22513.3849,bathydemersal,0,1.08,1
Shortspine thornyhead,Sebastolobus alascanus,2022,Gulf of Alaska,Gulf of Alaska,North Pacific Fisheries Management Council,NPFMC,Gulf of Alaska Groundfish FMP,Index Method,2,Alaska,0,0,1,1,1,,Alaska,ROCKFISHES,12938.375,NA,9704091,"demersal/benthic, piscivorous/omnivorous",0,0.8,1
