Common Name,Scientific Name,Asmt Year,Stock Assessment Area,Stock Status Area,Council,Council Abbv,FMP,Assessment Model,Assessment Model Type,Science Center Region,Rebuilding Program Status,SI.stock.boundaries,SI.data.prep,SI.model,SI.sci.advice,SI.other,NOAA.Region.Name,NMFS.Name,Ave.Metric.Tons_Commercial,Ave.Metric.Tons_Recreational,Ave.Dollars.Adj_Commercial,Ecological,Schooling,Max Length.m,Transboundary
Thresher shark,Alopias vulpinus,2018,North Pacific,North Pacific,,PFMC-WPFMC,U.S. West Coast Fisheries for Highly Migratory Species / Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem,SS,4,Pacific Islands,0,1,1,1,0,0,Hawaii,"SHARKS, THRESHER",7.5714286,NA,8367.25,"pelagic-oceanic, piscivorous/omnivorous",0,5.73,1
Tiger rockfish,Sebastes nigrocinctus,2010,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,DB-SRA,1,"Northwest, Southwest",0,0,0,0,0,0,Pacific Coast,"ROCKFISH, TIGER",0.05,1.238095,2883.0936,"reef-associated, piscivorous/omnivorous",0,0.61,1
Tilefish,Lopholatilus chamaeleonticeps,2011,Gulf of Mexico,Gulf of Mexico,Gulf of Mexico Fisheries Management Council,GMFMC,Gulf of Mexico Reef Fish FMP,SS3,4,Southeast,0,1,1,1,0,NA,Gulf,"TILEFISH, GOLDEN",89.4583333,26.33333,600162.42,"demersal/benthic, piscivorous/omnivorous",0,1.25,1
Tilefish,Lopholatilus chamaeleonticeps,2021,Mid-Atlantic Coast,Mid-Atlantic Coast,Mid-Atlantic Fisheries Management Council,MAFMC,Tilefish FMP,ASAP,4,Northeast,0,0,1,0,0,0,Middle Atlantic,"TILEFISH, GOLDEN",721.208333,179.3333,6000390.1,"demersal/benthic, piscivorous/omnivorous",0,1.25,1
Tilefish,Lopholatilus chamaeleonticeps,2021,Southern Atlantic Coast,Southern Atlantic Coast,South Atlantic Fisheries Management Council,SAFMC,South Atlantic Snapper Grouper FMP,ASAP,4,Southeast,0,0,0,0,0,0,South Atlantic,"TILEFISH, GOLDEN",180.791667,34.56522,1586472.62,"demersal/benthic, piscivorous/omnivorous",0,1.25,1
Tope,Galeorhinus galeus,2010,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,DCAC,1,"Northwest, Southwest",0,0,0,0,0,0,Pacific Coast,"SHARK, TOPE",15.2083333,0.5,31207.7523,"benthopelagic, piscivorous/omnivorous",0,1.93,1
Treefish,Sebastes serriceps,2010,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,DB-SRA,1,"Northwest, Southwest",0,0,0,0,0,0,Pacific Coast,"ROCKFISH, TREEFISH",1.70833333,8.157895,39852.078,"demersal/benthic, piscivorous/omnivorous",0,0.41,1
Vermilion rockfish,Sebastes miniatus,2021,Oregon,Oregon and Washington,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,0,1,1,1,1,0,Pacific Coast,"ROCKFISH, VERMILION",36.875,212.5714,285530.876,"reef-associated, piscivorous/omnivorous",0,0.91,1
Vermilion rockfish,Sebastes miniatus,2021,Washington,Oregon and Washington,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,0,1,1,1,1,0,Pacific Coast,"ROCKFISH, VERMILION",36.875,212.5714,285530.876,"reef-associated, piscivorous/omnivorous",0,0.91,1
Vermilion rockfish and Sunset rockfish,Sebastes miniatus and S. crocotulus,2021,Northern California,California,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,0,1,1,1,1,0,Pacific Coast,NA,NA,NA,NA,"reef-associated, piscivorous/omnivorous",0,0.91,1
Vermilion rockfish and Sunset rockfish,Sebastes miniatus and S. crocotulus,2021,Southern California,California,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,0,1,1,1,1,0,Pacific Coast,NA,NA,NA,NA,"reef-associated, piscivorous/omnivorous",0,0.91,1
Vermilion snapper,Rhomboplites aurorubens,2023,Gulf of Mexico,Gulf of Mexico,Gulf of Mexico Fisheries Management Council,GMFMC,Gulf of Mexico Reef Fish FMP,SS,4,Southeast,0,1,1,1,0,NA,Gulf,"SNAPPER, VERMILION",411.895833,545.4583,3067921.21,"demersal/benthic, piscivorous/omnivorous",1,0.6,1
Vermilion snapper,Rhomboplites aurorubens,2018,Southern Atlantic Coast,Southern Atlantic Coast,South Atlantic Fisheries Management Council,SAFMC,South Atlantic Snapper Grouper FMP,Beaufort Statistical Catch-at-Age Model,4,Southeast,0,0,1,0,0,NA,South Atlantic,"SNAPPER, VERMILION",422.666667,232.5417,3947540.8,"demersal/benthic, piscivorous/omnivorous",1,0.6,1
Wahoo,Acanthocybium solandri,2000,Southern Atlantic Coast,Southern Atlantic Coast,South Atlantic Fisheries Management Council,SAFMC,Dolphin Wahoo FMP,unknown,0,Southeast,0,0,0,0,0,0,South Atlantic,WAHOO,19.375,19.375,183459.449,"pelagic-oceanic, piscivorous/omnivorous",0,2.5,1
Walleye pollock,Gadus chalcogrammus,2023,Southeast Gulf of Alaska,Southeast Gulf of Alaska,North Pacific Fisheries Management Council,NPFMC,,AMAK,4,Alaska,0,1,1,1,1,1,Alaska,"POLLOCK, WALLEYE",1373616.96,NA,471116010,"benthopelagic, piscivorous/omnivorous",0,0.91,1
Walleye pollock,Gadus chalcogrammus,2023,Western / Central / West Yakutat Gulf of Alaska,Western / Central / West Yakutat Gulf of Alaska,North Pacific Fisheries Management Council,NPFMC,Gulf of Alaska Groundfish FMP,Custom SCAA,4,Alaska,0,1,1,1,1,1,Alaska,"POLLOCK, WALLEYE",1373616.96,NA,471116010,"benthopelagic, piscivorous/omnivorous",0,0.91,1
Walleye pollock,Gadus chalcogrammus,2023,Aleutian Islands,Aleutian Islands,North Pacific Fisheries Management Council,NPFMC,Bering Sea/Aleutian Islands Groundfish FMP,AMAK,4,Alaska,0,0,1,0,0,0,Alaska,"POLLOCK, WALLEYE",1373616.96,NA,471116010,"benthopelagic, piscivorous/omnivorous",0,0.91,1
Walleye pollock,Gadus chalcogrammus,2022,Bogoslof,Bogoslof,North Pacific Fisheries Management Council,NPFMC,Bering Sea/Aleutian Islands Groundfish FMP,Index Method,2,Alaska,0,0,1,0,0,0,Alaska,"POLLOCK, WALLEYE",1373616.96,NA,471116010,"benthopelagic, piscivorous/omnivorous",0,0.91,1
Walleye pollock,Gadus chalcogrammus,2023,Eastern Bering Sea,Eastern Bering Sea,North Pacific Fisheries Management Council,NPFMC,Gulf of Alaska Groundfish FMP,Custom SCAA,4,Alaska,0,0,1,0,0,0,Alaska,"POLLOCK, WALLEYE",1373616.96,NA,471116010,"benthopelagic, piscivorous/omnivorous",0,0.91,1
Warsaw grouper,Epinephelus nigritus,2001,Southern Atlantic Coast,Southern Atlantic Coast,South Atlantic Fisheries Management Council,SAFMC,South Atlantic Snapper Grouper FMP,unknown,0,Southeast,0,0,0,0,0,0,South Atlantic,"GROUPER, WARSAW",0,17,903.34218,"demersal/benthic, piscivorous/omnivorous",0,2.3,1
Weathervane scallop,Patinopecten caurinus,2024,Alaska,Alaska,North Pacific Fisheries Management Council,NPFMC,Alaska Scallop Fishery FMP,Index Method,2,Alaska,0,0,0,0,0,0,Alaska,"SCALLOP, WEATHERVANE",128.8125,NA,3135020.66,"demersal/benthic, planktivorous",0,0.28,1
White grunt,Haemulon plumierii,2000,Southern Atlantic Coast,Southern Atlantic Coast,South Atlantic Fisheries Management Council,SAFMC,South Atlantic Snapper Grouper FMP,unknown,0,Southeast,0,0,0,0,0,0,South Atlantic,"GRUNT, WHITE",8.54166667,168.875,33371.3645,"reef-associated, piscivorous/omnivorous",1,0.53,1
White hake,Urophycis tenuis,2022,Gulf of Maine / Georges Bank,Gulf of Maine / Georges Bank,New England Fisheries Management Council,NEFMC,Northeast Multispecies FMP,ASAP,4,Northeast,1,0,0,0,0,1,New England,"HAKE, WHITE",2198.16667,9.173913,6316042.45,"demersal/benthic, piscivorous/omnivorous",0,1.33,1
White marlin,Kajikia albida,2019,Atlantic,Atlantic,Highly Migratory Species; International Convention for the Conservation of Atlantic Tuna,"NOAA HMS, ICCAT",Atlantic/Gulf HMS FMP,"SS, JABBA",4,ICCAT,1,0,0,0,0,NA,"NOAA HMS, ICCAT","MARLIN, WHITE",NA,39.5,NA,"pelagic-oceanic, piscivorous/omnivorous",0,3,1
White shrimp,Litopenaeus setiferus,2019,Gulf of Mexico,Gulf of Mexico,Gulf of Mexico Fisheries Management Council,GMFMC,Shrimp FMP,SS,4,Southeast,0,0,1,0,0,0,Gulf,"SHRIMP, NORTHERN WHITE",22349.771,NA,127592817,"demersal/benthic, piscivorous/omnivorous",0,0.224,1
White shrimp,Litopenaeus setiferus,2018,Southern Atlantic Coast,Southern Atlantic Coast,South Atlantic Fisheries Management Council,SAFMC,Shrimp FMP,Survey Abundance,2,Southeast,0,0,0,0,0,0,South Atlantic,"SHRIMP, NORTHERN WHITE",6041.958,NA,45307191.4,"demersal/benthic, piscivorous/omnivorous",0,0.224,1
Widow rockfish,Sebastes entomelas,2023,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,"Northwest, Southwest",0,0,1,0,0,0,Pacific Coast,"ROCKFISH, WIDOW",3279.125,9.65,2438852.68,"pelagic-neritic, piscivorous/omnivorous",1,0.6,1
Windowpane,Scophthalmus aquosus,2023,Gulf of Maine / Georges Bank,Gulf of Maine / Georges Bank,New England Fisheries Management Council,NEFMC,Northeast Multispecies FMP,Empirical Approach,2,Northeast,1,0,0,0,0,1,New England,WINDOWPANE,32.75,0,43081.2782,"demersal/benthic, piscivorous/omnivorous",0,0.457,1
Windowpane,Scophthalmus aquosus,2023,Southern New England / Mid-Atlantic,Southern New England / Mid-Atlantic,New England Fisheries Management Council,NEFMC,Northeast Multispecies FMP,AIM,2,Northeast,0,0,0,0,0,1,New England,WINDOWPANE,32.75,0,43081.2782,"demersal/benthic, piscivorous/omnivorous",0,0.457,1
Winter flounder,Pseudopleuronectes americanus,2022,Gulf of Maine,Gulf of Maine,New England Fisheries Management Council,NEFMC,Northeast Multispecies FMP,Area-swept Biomass,2,Northeast,0,0,0,0,0,0,New England,"FLOUNDER, WINTER",2368.25,111.75,11459314.9,"demersal/benthic, piscivorous/omnivorous",0,0.64,1
Winter flounder,Pseudopleuronectes americanus,2022,Georges Bank,Georges Bank,New England Fisheries Management Council,NEFMC,Northeast Multispecies FMP,ADAPT,3,Northeast,1,1,0,0,0,1,New England,"FLOUNDER, WINTER",2368.25,111.75,11459314.9,"demersal/benthic, piscivorous/omnivorous",0,0.64,1
Winter flounder,Pseudopleuronectes americanus,2022,Southern New England / Mid-Atlantic,Southern New England / Mid-Atlantic,New England Fisheries Management Council,NEFMC,Northeast Multispecies FMP,ASAP,4,Northeast,0,1,1,0,0,0,New England,"FLOUNDER, WINTER",2368.25,111.75,11459314.9,"demersal/benthic, piscivorous/omnivorous",0,0.64,1
Winter skate,Leucoraja ocellata,2023,Georges Bank / Southern New England,Georges Bank / Southern New England,New England Fisheries Management Council,NEFMC,Skate Complex FMP,Index Method,2,Northeast,0,0,1,0,0,0,New England,"SKATE, WINTER",5003.23529,2.26666667,3387004.49,"demersal/benthic, piscivorous/omnivorous",0,1.13,1
Witch flounder,Glyptocephalus cynoglossus,2022,Northwestern Atlantic Coast,Northwestern Atlantic Coast,New England Fisheries Management Council,NEFMC,Northeast Multispecies FMP,Empirical Approach,2,Northeast,1,0,0,0,0,0,New England,"FLOUNDER, WITCH",1308.25,NA,6992298.19,"demersal/benthic, piscivorous/omnivorous",0,0.6,1
Wreckfish,Polyprion americanus,2014,Southern Atlantic Coast,Southern Atlantic Coast,South Atlantic Fisheries Management Council,SAFMC,South Atlantic Snapper Grouper FMP,"SCAA, Dynamic Production Model",4,Southeast,0,0,0,0,0,0,South Atlantic,WRECKFISH,67.75,0,607649.208,"demersal/benthic, piscivorous/omnivorous",0,2.1,1
Yellow-edged lyretail,Variola louti,2023,American Samoa,American Samoa,Western Pacific Fisheries Management Council,WPFMC,American Samoa Archipelago Ecosystem,SS,4,Pacific Islands,0,0,0,0,0,0,Hawaii,NA,NA,NA,NA,"reef-associated, piscivorous/omnivorous",0,0.83,1
Yellowedge grouper,Epinephelus flavolimbatus,2024,Gulf of Mexico,Gulf of Mexico,Gulf of Mexico Fisheries Management Council,GMFMC,Gulf of Mexico Reef Fish FMP,SS,4,Southeast,0,1,1,1,0,0,Gulf,"GROUPER, YELLOWEDGE",195.833333,NA7.6818182,2054463.21,"demersal/benthic, piscivorous/omnivorous",0,1.15,1
Yellowedge grouper,Epinephelus flavolimbatus,2001,Southern Atlantic Coast,Southern Atlantic Coast,South Atlantic Fisheries Management Council,SAFMC,South Atlantic Snapper Grouper FMP,unknown,0,Southeast,0,0,0,0,0,0,South Atlantic,"GROUPER, YELLOWEDGE",6.58333333,3.9411765,80986.0469,"demersal/benthic, piscivorous/omnivorous",0,1.15,1
Yelloweye rockfish,Sebastes ruberrimus,2022,Gulf of Alaska,Gulf of Alaska,North Pacific Fisheries Management Council,NPFMC,Gulf of Alaska Groundfish FMP,Index Method,2,Alaska,0,1,1,1,1,0,Alaska,ROCKFISHES,12938.375,NA,9704091,"reef-associated, piscivorous/omnivorous",0,1.04,1
Yelloweye rockfish,Sebastes ruberrimus,2023,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,1,0,1,1,1,1,Pacific Coast,"ROCKFISH, YELLOWEYE",2.16666667,1.333,7005.37222,"reef-associated, piscivorous/omnivorous",0,1.04,1
Yellowfin sole,Limanda aspera,2023,Bering Sea / Aleutian Islands,Bering Sea / Aleutian Islands,North Pacific Fisheries Management Council,NPFMC,Bering Sea/Aleutian Islands Groundfish FMP,Custom SCAA,4,Alaska,0,0,1,1,0,0,Alaska,"SOLE, YELLOWFIN",112337.292,NA,48399925.4,"demersal/benthic, piscivorous/omnivorous",0,0.49,1
Yellowfin tuna,Thunnus albacares,2019,Western Atlantic,Western Atlantic,Highly Migratory Species; International Convention for the Conservation of Atlantic Tuna,"NOAA HMS, ICCAT",Atlantic/Gulf HMS FMP,SS,4,ICCAT,0,0,1,1,0,0,"NOAA HMS, ICCAT","TUNA, YELLOWFIN",683.98026,4568.4627,10570175.2,"pelagic-oceanic, piscivorous/omnivorous",1,2.39,1
Yellowfin tuna,Thunnus albacares,2024,Eastern Pacific,Eastern Pacific,,PFMC-WPFMC,U.S. West Coast Fisheries for Highly Migratory Species / Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem,3.30.15,0,"Pacific Islands, IATTC",0,0,1,1,0,1,Hawaii,"TUNA, YELLOWFIN",2368.38462,NA,21787177.7,"pelagic-oceanic, piscivorous/omnivorous",1,2.39,1
Yellowfin tuna,Thunnus albacares,2023,Central Western Pacific,Central Western Pacific,,PFMC-WPFMC,U.S. West Coast Fisheries for Highly Migratory Species / Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem,Multifan-CL,4,"Pacific Islands, IATTC",0,1,1,1,0,0,Hawaii,"TUNA, YELLOWFIN",2368.38462,NA,21787177.7,"pelagic-oceanic, piscivorous/omnivorous",1,2.39,1
Yellowmouth rockfish,Sebastes reedi,2010,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,DB-SRA,1,"Northwest, Southwest",0,0,0,0,0,0,Pacific Coast,"ROCKFISH, YELLOWMOUTH",11.1,0,8617.18115,bathydemersal,0,0.58,1
Yellowtail flounder,Limanda ferruginea,2023,Georges Bank,Georges Bank,New England Fisheries Management Council,NEFMC,Northeast Multispecies FMP,Index Method,2,Northeast,1,0,1,0,0,0,New England,"FLOUNDER, YELLOWTAIL",2293.125,0.8,8792241.48,"demersal/benthic, piscivorous/omnivorous",0,0.64,1
Yellowtail flounder,Limanda ferruginea,2022,Cape Cod / Gulf of Maine,Cape Cod / Gulf of Maine,New England Fisheries Management Council,NEFMC,Northeast Multispecies FMP,VPA,3,Northeast,0,1,0,0,0,0,New England,"FLOUNDER, YELLOWTAIL",2293.125,0.8,8792241.48,"demersal/benthic, piscivorous/omnivorous",0,0.64,1
Yellowtail flounder,Limanda ferruginea,2022,Southern New England / Mid-Atlantic,Southern New England / Mid-Atlantic,New England Fisheries Management Council,NEFMC,Northeast Multispecies FMP,ASAP,4,Northeast,1,1,0,0,0,NA,New England,"FLOUNDER, YELLOWTAIL",2293.125,0.8,8792241.48,"demersal/benthic, piscivorous/omnivorous",0,0.64,1
Yellowtail rockfish,Sebastes flavidus,2017,Northern Pacific Coast,Northern Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,0,1,1,1,1,0,Pacific Coast,"ROCKFISH, YELLOWTAIL",1708.58333,108.619048,1791715.24,"demersal/benthic, piscivorous/omnivorous",0,0.64,1
Yellowtail rockfish,Sebastes flavidus,2017,Southern Pacific Coast,Southern Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,0,1,1,1,1,0,Pacific Coast,"ROCKFISH, YELLOWTAIL",1708.58333,108.619048,1791715.24,"demersal/benthic, piscivorous/omnivorous",0,0.64,1
Yellowtail snapper,Ocyurus chrysurus,2022,Southern Atlantic Coast / Gulf of Mexico,Southern Atlantic Coast / Gulf of Mexico,South Atlantic Fisheries Management Council,SAFMC,South Atlantic Snapper Grouper FMP,SS,4,Southeast,0,0,1,0,0,0,South Atlantic,"SNAPPER, YELLOWTAIL",44.6666667,199.8333,405569.517,"reef-associated, piscivorous/omnivorous",1,0.863,1
