"","Common.Name","Scientific.Name","Stock.Assessment.Area","Stock.Status.Area","Council","Council.Abbv","FMP","Assessment.Model","Assessment.Model.Type","Science.Center.Region","Rebuilding.Program.Status","SI.stock.boundaries","SI.data.prep","SI.model","SI.sci.advice","SI.other","Spatially.Explict.Implict","NOAA.Region.Name","NMFS.Name","Ave.Metric.Tons_Commercial","Ave.Metric.Tons_Recreational","Ave.Dollars.Adj_Commercial","Ecological","Schooling","Max.Length.m","Transboundary","Fisheries.Dep.Only","PerTon_Ave.Dollars.Adj_Commercial","Mgmt.Council"
"21","Atlantic salmon","Salmo salar","Gulf of Maine","Gulf of Maine","New England Fisheries Management Council","NEFMC","Atlantic Salmon FMP","Index Method",2,"Northeast",1,0,1,1,1,0,"1","New England","SALMON, ATLANTIC",NA,0,NA,"benthopelagic, piscivorous/omnivorous",0,1.5,1,0,NA,"New England"
"22","Atlantic sharpnose shark","Rhizoprionodon terraenovae","Atlantic","Atlantic","Highly Migratory Species; International Convention for the Conservation of Atlantic Tuna","NOAA HMS-ICCAT","Atlantic/Gulf HMS FMP","SS",4,"Southeast",0,1,1,0,0,NA,"0","NOAA HMS, ICCAT","SHARK, SHARPNOSE, ATLANTIC",137.95,140.556,209059.45,"demersal/benthic, piscivorous/omnivorous",0,1.1,1,0,1515.47263501269,"International, Atlantic"
"23","Atlantic sharpnose shark","Rhizoprionodon terraenovae","Gulf of Mexico, South Atlantic Coast","Gulf of Mexico, South Atlantic Coast","Highly Migratory Species; International Convention for the Conservation of Atlantic Tuna","NOAA HMS-ICCAT","Atlantic/Gulf HMS FMP","State-space age-structured production model",5,"Southeast",0,1,1,0,0,NA,"0","NOAA HMS, ICCAT","SHARK, SHARPNOSE, ATLANTIC",33.588,108.4583,49436.929,"demersal/benthic, piscivorous/omnivorous",0,1.1,1,0,1471.8628379183,"International, Atlantic"
"24","Atlantic surfclam","Spisula solidissima","Mid-Atlantic Coast","Mid-Atlantic Coast","Mid-Atlantic Fisheries Management Council","MAFMC","Atlantic Surfclam and Ocean Quahog FMP","SS",4,"MidAtlantic",0,1,1,1,0,1,"1","Middle Atlantic","CLAM, SURF, ATLANTIC",15223.2917,NA,29755498.2,"demersal/benthic, planktivorous",0,0.2,1,0,1954.60343179261,"Mid-Atlantic"
"25","Atlantic wolffish","Anarhichas lupus","Gulf of Maine / Georges Bank","Gulf of Maine / Georges Bank","New England Fisheries Management Council","NEFMC","Northeast Multispecies FMP","SCALE",4,"Northeast",1,0,0,0,0,0,"0","New England","WOLFFISH, ATLANTIC",108,17,203556.415,"demersal/benthic, piscivorous/omnivorous",0,1.5,1,0,1884.78162037037,"New England"
"26","Aurora rockfish","Sebastes aurora","Pacific Coast","Pacific Coast","Pacific Fisheries Management Council","PFMC","Pacific Coast Groundfish FMP","SS",4,"Northwest",0,0,0,0,0,0,"0","Pacific Coast","ROCKFISH, AURORA",22.9583333,NA,28478.8164,"bathydemersal",0,0.41,1,0,1240.4566145052,"Pacific"
"27","Barndoor skate","Dipturus laevis","Georges Bank / Southern New England","Georges Bank / Southern New England","New England Fisheries Management Council","NEFMC","Skate Complex FMP","Index Method",2,"Northeast",0,0,1,0,0,0,"0","New England","SKATE, BARNDOOR",90.25,NA,61083.1549,"demersal/benthic, piscivorous/omnivorous",0,1.63,1,0,676.821660941828,"New England"
"28","Big skate","Raja binoculata","Gulf of Alaska","Gulf of Alaska","North Pacific Fisheries Management Council","NPFMC","Gulf of Alaska Groundfish FMP","Survey Abundance",2,"Alaska",0,0,0,0,0,0,"0","Alaska","SKATE, BIG",89.3684211,NA,97020.9728,"demersal/benthic, piscivorous/omnivorous",0,2.44,1,0,1085.62925925968,"North Pacific"
"29","Big skate","Raja binoculata","Pacific Coast","Pacific Coast","Pacific Fisheries Management Council","PFMC","Pacific Coast Groundfish FMP","SS",4,"Northwest",0,0,1,0,0,0,"0","Pacific Coast","SKATE, BIG",89.3684211,NA,97020.9728,"demersal/benthic, piscivorous/omnivorous",0,2.44,1,0,1085.62925925968,"Pacific"
"30","Bigeye thresher","Alopias superciliosus","Pacific","Pacific","Western Pacific Management Council; Pacific RFMO","WPFMC-P-RFMO","U.S. West Coast Fisheries for Highly Migratory Species / Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem","MIST",1,"Southwest",0,0,1,0,1,NA,"0","Hawaii","SHARKS, THRESHER",NA,NA,NA,"pelagic-oceanic, piscivorous/omnivorous",0,4.88,1,1,NA,"International, Pacific"
"31","Bigeye tuna","Thunnus obesus","Atlantic","Atlantic","Highly Migratory Species; International Convention for the Conservation of Atlantic Tuna","NOAA HMS-ICCAT","Atlantic/Gulf HMS FMP","SS",4,"ICCAT",1,0,1,1,0,NA,"1","NOAA HMS, ICCAT","TUNA, BIGEYE",440.561,611.88,4418669.48,"pelagic-oceanic, piscivorous/omnivorous",1,2.5,1,0,10029.6428417404,"International, Atlantic"
"32","Bigeye tuna","Thunnus obesus","Eastern Pacific","Eastern Pacific","Western Pacific Management Council; Pacific RFMO","WPFMC-P-RFMO","U.S. West Coast Fisheries for Highly Migratory Species / Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem","SS",4,"Pacific Islands",0,0,1,1,0,1,"1","Hawaii","TUNA, BIGEYE",7104.30769,138.388889,79469812,"pelagic-oceanic, piscivorous/omnivorous",0,2.5,1,0,11186.1444447094,"International, Pacific"
"33","Bigeye tuna","Thunnus obesus","Western and Central Pacific","Western and Central Pacific","Western Pacific Management Council; Pacific RFMO","WPFMC-P-RFMO","U.S. West Coast Fisheries for Highly Migratory Species / Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem","Multifan-CL",4,"Pacific Islands",0,1,1,1,0,NA,"2","Hawaii","TUNA, BIGEYE",7104.30769,138.388889,79469812,"pelagic-oceanic, piscivorous/omnivorous",0,2.5,1,1,11186.1444447094,"International, Pacific"
"34","Black grouper","Mycteroperca bonaci","Southern Atlantic Coast / Gulf of Mexico","Southern Atlantic Coast / Gulf of Mexico","South Atlantic Fisheries Management Council","SAFMC","South Atlantic Snapper Grouper FMP","Catch Curve",1,"Southeast",0,0,0,0,0,0,"0","South Atlantic","GROUPER, BLACK",5.5,10.0833,60586.0979,"reef-associated, piscivorous/omnivorous",0,1.5,1,0,11015.6541636364,"South Atlantic"
"35","Black jack","Caranx lugubris","American Samoa","American Samoa","Western Pacific Fisheries Management Council","WPFMC","American Samoa Archipelago Ecosystem","SS",4,"Pacific Islands",0,0,0,0,0,0,"0","Hawaii","JACK, BLACK",0.125,4.5,1382.87826,"benthopelagic, piscivorous/omnivorous",0,1,1,1,11063.02608,"Western Pacific"
"36","Black rockfish","Sebastes melanops","Point Conception / Oregon Border","California","Pacific Fisheries Management Council","PFMC","Pacific Coast Groundfish FMP","SS",4,"Northwest",0,1,1,1,1,0,"1","Pacific Coast","ROCKFISH, BLACK",171.708333,704.2857,915555.836,"benthopelagic, piscivorous/omnivorous",0,0.63,1,0,5332.04079268535,"Pacific"
"37","Black rockfish","Sebastes melanops","South of Point Conception","California","Pacific Fisheries Management Council","PFMC","Pacific Coast Groundfish FMP","SS",4,"Northwest",0,1,1,1,1,0,"1","Pacific Coast","ROCKFISH, BLACK",171.708333,704.2857,915555.836,"benthopelagic, piscivorous/omnivorous",0,0.63,1,0,5332.04079268535,"Pacific"
"38","Black rockfish","Sebastes melanops","Oregon","Oregon","Pacific Fisheries Management Council","PFMC","Pacific Coast Groundfish FMP","SS",4,"Northwest",0,1,1,1,1,0,"1","Pacific Coast","ROCKFISH, BLACK",171.708333,704.2857,915555.836,"benthopelagic, piscivorous/omnivorous",0,0.63,1,0,5332.04079268535,"Pacific"
"39","Black rockfish","Sebastes melanops","Washington","Washington","Pacific Fisheries Management Council","PFMC","Pacific Coast Groundfish FMP","SS",4,"Northwest",0,1,1,1,1,0,"1","Pacific Coast","ROCKFISH, BLACK",171.708333,704.2857,915555.836,"benthopelagic, piscivorous/omnivorous",0,0.63,1,1,5332.04079268535,"Pacific"
"40","Black sea bass","Centropristis striata","Mid-Atlantic Coast","Mid-Atlantic Coast","Mid-Atlantic Fisheries Management Council","MAFMC","Summer Flounder, Scup, Black Sea Bass FMP","WHAM",5,"Northeast",0,1,1,1,0,0,"2","Middle Atlantic","BASS, BLACK SEA",788.583333,1996.33,6380046.16,"reef-associated, piscivorous/omnivorous",0,0.66,1,0,8090.51611036268,"Mid-Atlantic"
"41","Black sea bass","Centropristis striata","Southern Atlantic Coast","Southern Atlantic Coast","South Atlantic Fisheries Management Council","SAFMC","South Atlantic Snapper Grouper FMP","BAM",4,"Southeast",0,1,1,0,0,1,"0","South Atlantic","BASS, BLACK SEA",270.791667,429.0833,1904732.94,"reef-associated, piscivorous/omnivorous",0,0.66,1,0,7033.94222245399,"South Atlantic"
"42","Blackgill rockfish","Sebastes melanostomus","Southern California","Southern California","Pacific Fisheries Management Council","PFMC","Pacific Coast Groundfish FMP","DCAC, SS",5,"Northwest, Southwest",0,0,0,0,0,0,"0","Pacific Coast","ROCKFISH, BLACKGILL",86.9583333,NA,282322.105,"bathydemersal",0,0.7,1,0,3246.63657048266,"Pacific"
"43","Blacknose shark","Carcharhinus acronotus","Atlantic","Atlantic","Highly Migratory Species; International Convention for the Conservation of Atlantic Tuna","NOAA HMS-ICCAT","Atlantic/Gulf HMS FMP","State-space age-structured production model",5,"Southeast",1,1,1,0,0,NA,"0","NOAA HMS, ICCAT","SHARK, BLACKNOSE",31.0833,28.4,58212.883,"reef-associated, piscivorous/omnivorous",0,2,1,0,1872.8025338365,"International, Atlantic"
"44","Blacknose shark","Carcharhinus acronotus","Gulf of Mexico","Gulf of Mexico","Highly Migratory Species; International Convention for the Conservation of Atlantic Tuna","NOAA HMS-ICCAT","Atlantic/Gulf HMS FMP","State-space age-structured production model",5,"Southeast",0,1,1,0,0,NA,"0","NOAA HMS, ICCAT","SHARK, BLACKNOSE",6.2,36.826087,8853.7,"reef-associated, piscivorous/omnivorous",0,2,1,0,1428.01612903226,"International, Atlantic"
"45","Blackspotted and Rougheye rockfish","Sebastes melanostictus and S. aleutianus","Aleutian Islands","Eastern Bering Sea / Aleutian Islands","North Pacific Fisheries Management Council","NPFMC","Bering Sea/Aleutian Islands Groundfish FMP","AMAK",4,"Alaska",0,1,0,0,1,1,"0","Alaska","ROCKFISHES",12938.375,NA,9704091,"benthopelagic, piscivorous/omnivorous",0,0.539,1,0,750.023940409827,"North Pacific"
"46","Blackspotted and Rougheye rockfish","Sebastes melanostictus and S. aleutianus","Eastern Bering Sea","Eastern Bering Sea / Aleutian Islands","North Pacific Fisheries Management Council","NPFMC","Bering Sea/Aleutian Islands Groundfish FMP","Index Method",2,"Alaska",0,1,0,0,1,1,"0","Alaska","ROCKFISHES",12938.375,NA,9704091,"benthopelagic, piscivorous/omnivorous",0,0.539,1,0,750.023940409827,"North Pacific"
"47","Blackspotted and Rougheye Rockfish","Sebastes melanostictus and S. aleutianus","Gulf of Alaska","Gulf of Alaska","North Pacific Fisheries Management Council","NPFMC","Gulf of Alaska Groundfish FMP","Custom SCAA",4,"Alaska",0,0,1,0,1,NA,"0","Alaska","ROCKFISHES",12938.375,NA,9704091,"benthopelagic, piscivorous/omnivorous",0,0.539,1,0,750.023940409827,"North Pacific"
"48","Blackspotted and Rougheye Rockfish","Sebastes melanostictus and S. aleutianus","Pacific Coast","Pacific Coast","Pacific Fisheries Management Council","PFMC","Pacific Coast Groundfish FMP","DB-SRA, SS",5,"Northwest, Southwest",0,0,0,0,0,0,"0","Pacific Coast","ROCKFISH, ROUGHEYE/BLACKSPOT",132,NA,1590395,"benthopelagic, piscivorous/omnivorous",0,0.539,1,0,12048.446969697,"Pacific"
"49","Blacktip shark","Carcharhinus limbatus","Atlantic","Atlantic","Highly Migratory Species; International Convention for the Conservation of Atlantic Tuna","NOAA HMS-ICCAT","Atlantic/Gulf HMS FMP","SS",4,"Southeast",0,1,1,1,0,NA,"1","NOAA HMS, ICCAT","SHARK, BLACKTIP",138.361,101.04167,208509.867,"reef-associated, piscivorous/omnivorous",0,2.86,1,0,1506.99884360477,"International, Atlantic"
"50","Blacktip shark","Carcharhinus limbatus","Gulf of Mexico","Gulf of Mexico","Highly Migratory Species; International Convention for the Conservation of Atlantic Tuna","NOAA HMS-ICCAT","Atlantic/Gulf HMS FMP","SS",4,"Southeast",0,1,1,1,0,NA,"1","NOAA HMS, ICCAT","SHARK, BLACKTIP",173.42424,181.125,249621.495,"reef-associated, piscivorous/omnivorous",0,2.86,1,0,1439.36911587446,"International, Atlantic"
"51","Blue and Deacon Rockfish","Sebastes mystinus and S. diaconus","California","California","Pacific Fisheries Management Council","PFMC","Pacific Coast Groundfish FMP","SS",1,"Northwest, Southwest",0,1,1,1,1,0,"1","Pacific Coast","ROCKFISH, BLUE",9.0833,140.5714,46165.45,"reef-associated, piscivorous/omnivorous",0,0.61,1,0,5082.45351359088,"Pacific"
"52","Blue and Deacon Rockfish","Sebastes mystinus and S. diaconus","Oregon","Oregon","Pacific Fisheries Management Council","PFMC","Pacific Coast Groundfish FMP","SS",1,"Northwest, Southwest",0,1,1,1,1,0,"1","Pacific Coast","ROCKFISH, BLUE",9.0833,140.5714,46165.45,"reef-associated, piscivorous/omnivorous",0,0.61,1,1,5082.45351359088,"Pacific"
"53","Blue king crab","Paralithodes platypus","Pribilof Islands","Pribilof Islands","North Pacific Fisheries Management Council","NPFMC","Bering Sea/Aleutian Islands Groundfish FMP","Survey Abundance",2,"Alaska",1,1,0,0,0,0,"0","Alaska","
CRAB, KING",7511.333,NA,124516855.7,"demersal/benthic, piscivorous/omnivorous",0,0.22,1,0,16577.1981750776,"North Pacific"
"54","Blue king crab","Paralithodes platypus","Saint Matthew Island","Saint Matthew Island","North Pacific Fisheries Management Council","NPFMC","Bering Sea/Aleutian Islands Groundfish FMP","GMACS",4,"Alaska",1,1,0,0,0,0,"0","Alaska","
CRAB, KING",7511.333,NA,124516855.7,"demersal/benthic, piscivorous/omnivorous",0,0.22,1,0,16577.1981750776,"North Pacific"
"55","Blue marlin","Makaira nigricans","Atlantic","Atlantic","Highly Migratory Species; International Convention for the Conservation of Atlantic Tuna","NOAA HMS-ICCAT","Atlantic/Gulf HMS FMP","SS",4,"ICCAT",1,0,0,0,0,0,"0","NOAA HMS, ICCAT","MARLIN, BLUE",0,512.65,12.09,"pelagic-oceanic, piscivorous/omnivorous",0,5,1,1,0,"International, Atlantic"
"56","Blue marlin","Makaira mazara","Pacific","Pacific","Western Pacific Management Council; Pacific RFMO","WPFMC-P-RFMO","Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem","SS",4,"Pacific Islands",0,1,1,1,0,1,"1","Hawaii","MARLIN, BLUE",524,455.65,2071851.53,"pelagic-oceanic, piscivorous/omnivorous",0,5,1,1,3953.91513358779,"International, Pacific"
"57","Blue shark","Prionace glauca","Atlantic","Atlantic","Highly Migratory Species; International Convention for the Conservation of Atlantic Tuna","NOAA HMS-ICCAT","Atlantic/Gulf HMS FMP","SS",4,"ICCAT",0,1,0,0,0,0,"0","NOAA HMS, ICCAT","SHARK, BLUE",10,1119.6667,2538.4145,"pelagic-oceanic, piscivorous/omnivorous",0,4,1,1,253.84145,"International, Atlantic"
"58","Blue shark","Prionace glauca","Pacific","Pacific","Western Pacific Management Council; Pacific RFMO","WPFMC-P-RFMO","U.S. West Coast Fisheries for Highly Migratory Species / Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem","SS",4,"Pacific Islands",0,1,1,1,0,1,"1","Hawaii","SHARKS, CHONDRICHTHYES (CLASS)",0,NA,107.4979,"pelagic-oceanic, piscivorous/omnivorous",0,4,1,1,0,"International, Pacific"
"59","Bluefin tuna","Thunnus thynnus","Western Atlantic","Western Atlantic","Highly Migratory Species; International Convention for the Conservation of Atlantic Tuna","NOAA HMS-ICCAT","Atlantic/Gulf HMS FMP","SS",4,"Southeast",0,1,1,1,1,1,"1","NOAA HMS, ICCAT","TUNA, BLUEFIN",739.8951,1662.1216,13384383.1,"pelagic-oceanic, piscivorous/omnivorous",0,4.58,1,0,18089.568507752,"International, Atlantic"
"60","Bluefish","Pomatomus saltatrix","Atlantic Coast","Atlantic Coast","Mid-Atlantic Fisheries Management Council","MAFMC","Bluefish FMP","WHAM",5,"Northeast",1,0,1,0,0,0,"0","Middle Atlantic","BLUEFISH",1015.79167,6045.667,1623878.9,"pelagic-oceanic, piscivorous/omnivorous",0,1.3,1,0,1598.63380253945,"Mid-Atlantic"
"61","Blueline tilefish","Caulolatilus microps","Mid-Atlantic Coast","Mid-Atlantic Coast","Mid-Atlantic Fisheries Management Council","MAFMC","Golden and Blueline Tilefish FMP","Catch only",1,"Southeast",0,0,0,0,0,1,"0","Middle Atlantic","TILEFISH, BLUELINE",9.86956522,72.25,62196.2933,"demersal/benthic, piscivorous/omnivorous",0,0.9,1,1,6301.82707278366,"Mid-Atlantic"
"62","Blueline tilefish","Caulolatilus microps","Southern Atlantic Coast","Southern Atlantic Coast","South Atlantic Fisheries Management Council","SAFMC","South Atlantic Snapper Grouper FMP","ASPIC",1,"Southeast",0,0,0,0,0,0,"0","South Atlantic","TILEFISH, BLUELINE",74.7083333,75.916667,446520.967,"demersal/benthic, piscivorous/omnivorous",0,0.9,1,1,5976.85622575654,"South Atlantic"
"63","Bocaccio","Sebastes paucispinis","Southern Pacific Coast","Southern Pacific Coast","Pacific Fisheries Management Council","PFMC","Pacific Coast Groundfish FMP","DB-SRA",1,"Northwest, Southwest",0,1,1,0,1,0,"0","Pacific Coast","ROCKFISH, BOCACCIO",122.791667,83.57143,173612.973,"reef-associated, piscivorous/omnivorous",0,0.91,1,0,1413.88236874413,"Pacific"
"64","Bronzespotted rockfish","Sebastes gilli","Pacific Coast","Pacific Coast","Pacific Fisheries Management Council","PFMC","Pacific Coast Groundfish FMP","DB-SRA",1,"Northwest, Southwest",0,0,0,0,0,0,"0","Pacific Coast","ROCKFISH, BRONZESPOTTED",0,0,775.96683,"demersal/benthic, piscivorous/omnivorous",0,0.71,1,1,0,"Pacific"
"65","Brown rock shrimp","Sicyonia brevirostris","Southern Atlantic Coast","Southern Atlantic Coast","South Atlantic Fisheries Management Council","SAFMC","Shrimp FMP","Index Method",2,"Southeast",0,0,NA,0,0,NA,"0","South Atlantic","SHRIMP, ROCK",524,NA,2361078.75,"demersal/benthic, piscivorous/omnivorous",0,0.153,1,NA,4505.87547709924,"South Atlantic"
"66","Brown rockfish","Sebastes auriculatus","Pacific Coast","Pacific Coast","Pacific Fisheries Management Council","PFMC","Pacific Coast Groundfish FMP","Extended DBSRA",1,"Northwest",0,1,1,1,1,0,"1","Pacific Coast","ROCKFISH, BROWN",22.125,72.7,398138.25,"demersal/benthic, piscivorous/omnivorous",0,0.31,1,1,17994.9491525424,"Pacific"
"67","Brown shrimp","Farfantepenaeus aztecus","Gulf of Mexico","Gulf of Mexico","South Atlantic Fisheries Management Council","SAFMC","Shrimp FMP","Index Method",2,"Southeast",0,0,1,0,0,0,"0","South Atlantic","SHRIMP, BROWN",22753.583,NA,122884300,"demersal/benthic, planktivorous",0,0.22,1,NA,5400.65711848547,"South Atlantic"
"68","Brown shrimp","Farfantepenaeus aztecus","Southern Atlantic Coast","Southern Atlantic Coast","South Atlantic Fisheries Management Council","SAFMC","Shrimp FMP","Survey Abundance",1,"Southeast",0,0,NA,0,0,NA,"0","South Atlantic","SHRIMP, BROWN",2647.542,NA,15704648.5,"demersal/benthic, planktivorous",0,0.22,1,NA,5931.78446272052,"South Atlantic"
"69","Butterfish","Peprilus triacanthus","Gulf of Maine / Cape Hatteras","Gulf of Maine / Cape Hatteras","Mid-Atlantic Fisheries Management Council","MAFMC","Mackerel, Squid, Butterfish FMP","WHAM",5,"MidAtlantic",0,0,0,0,0,1,"0","Middle Atlantic","BUTTERFISH",259.882353,NA,679951.524,"benthopelagic, planktivorous",1,0.3,1,0,2616.38205192024,"Mid-Atlantic"
"70","Cabezon","Scorpaenichthys marmoratus","Northern California","California","Pacific Fisheries Management Council","PFMC","Pacific Coast Groundfish FMP","SS",4,"Northwest",0,1,1,1,1,0,"1","Pacific Coast","CABEZON",61.4583333,49.85714,861818.811,"demersal/benthic, piscivorous/omnivorous",0,0.99,1,1,14022.81455947,"Pacific"
"71","Cabezon","Scorpaenichthys marmoratus","Southern California","California","Pacific Fisheries Management Council","PFMC","Pacific Coast Groundfish FMP","SS",4,"Northwest",0,1,1,1,1,0,"1","Pacific Coast","CABEZON",61.4583333,49.85714,861818.811,"demersal/benthic, piscivorous/omnivorous",0,0.99,1,1,14022.81455947,"Pacific"
"72","Cabezon","Scorpaenichthys marmoratus","Northern Pacific Coast","Oregon","Pacific Fisheries Management Council","PFMC","Pacific Coast Groundfish FMP","SS",4,"Northwest",0,1,1,1,1,0,"1","Pacific Coast","CABEZON",61.4583333,49.85714,861818.811,"demersal/benthic, piscivorous/omnivorous",0,0.99,1,1,14022.81455947,"Pacific"
"73","Cabezon","Scorpaenichthys marmoratus","Washington","Pacific","Pacific Fisheries Management Council","PFMC","Pacific Coast Groundfish FMP","Simple SS",4,"Northwest",0,1,1,1,1,0,"1","Pacific Coast","CABEZON",61.4583333,49.85714,861818.811,"demersal/benthic, piscivorous/omnivorous",0,0.99,1,1,14022.81455947,"Pacific"
"74","California scorpionfish","Scorpaena guttata","Southern California","Southern California","Pacific Fisheries Management Council","PFMC","Pacific Coast Groundfish FMP","SS",4,"Northwest",0,0,0,0,0,0,"0","Pacific Coast","SCORPIONFISH, CALIFORNIA",NA,87.94737,NA,"demersal/benthic, piscivorous/omnivorous",0,0.43,1,0,NA,"Pacific"
"75","Canary rockfish","Sebastes pinniger","Pacific Coast","Pacific Coast","Pacific Fisheries Management Council","PFMC","Pacific Coast Groundfish FMP","SS",4,"Northwest",0,0,1,1,0,0,"1","Pacific Coast","ROCKFISH, CANARY",145.791667,43.7619,171840.166,"demersal/benthic, piscivorous/omnivorous",0,0.76,1,0,1178.66932682785,"Pacific"
"76","Caribbean spiny lobster","Panulirus argus","Puerto Rico","Puerto Rico","Caribbean Fisheries Management Council","CFMC","Caribbean Spiny Lobster FMP","SS",4,"Southeast",0,0,1,0,0,NA,"0","South Atlantic","LOBSTER, CARIBBEAN SPINY",198.25,NA,3793554.76,"demersal/benthic, piscivorous/omnivorous",0,0.45,1,1,19135.2068600252,"Caribbean"
"77","Caribbean spiny lobster","Panulirus argus","Southern Atlantic Coast / Gulf of Mexico","Southern Atlantic Coast / Gulf of Mexico","Caribbean Fisheries Management Council","CFMC","Spiny Lobster FMP","SS",4,"Southeast",0,0,0,0,0,NA,"0","South Atlantic","LOBSTER, CARIBBEAN SPINY",198.25,NA,3793554.76,"demersal/benthic, piscivorous/omnivorous",0,0.45,1,1,19135.2068600252,"Caribbean"
"78","Caribbean spiny lobster","Panulirus argus","St. Croix","St. Croix","Caribbean Fisheries Management Council","CFMC","Caribbean Spiny Lobster FMP","SS",4,"Southeast",0,0,1,0,0,NA,"0","South Atlantic","LOBSTER, CARIBBEAN SPINY",198.25,NA,3793554.76,"demersal/benthic, piscivorous/omnivorous",0,0.45,1,1,19135.2068600252,"Caribbean"
"79","Caribbean spiny lobster","Panulirus argus","St. Thomas / St. John","St. Thomas / St. John","Caribbean Fisheries Management Council","CFMC","Caribbean Spiny Lobster FMP","SS",4,"Southeast",0,0,1,0,0,NA,"0","South Atlantic","LOBSTER, CARIBBEAN SPINY",198.25,NA,3793554.76,"demersal/benthic, piscivorous/omnivorous",0,0.45,1,1,19135.2068600252,"Caribbean"
"80","Chilipepper","Sebastes goodei","Southern Pacific Coast","Southern Pacific Coast","Pacific Fisheries Management Council","PFMC","Pacific Coast Groundfish FMP","SS",4,"Northwest",0,0,0,0,0,0,"0","Pacific Coast","ROCKFISH, CHILIPEPPER",320.875,12.95,494184.368,"demersal/benthic, piscivorous/omnivorous",0,0.56,1,0,1540.11489832489,"Pacific"
"81","China rockfish","Sebastes nebulosus","Central Pacific Coast","Central Pacific Coast","Pacific Fisheries Management Council","PFMC","Pacific Coast Groundfish FMP","SS",4,"Northwest",0,1,1,1,1,0,"1","Pacific Coast","ROCKFISH, CHINA",7.75,15.85714,142019.723,"reef-associated, piscivorous/omnivorous",0,0.45,1,1,18325.1255483871,"Pacific"
"82","China rockfish","Sebastes nebulosus","Northern Pacific Coast","Northern Pacific Coast","Pacific Fisheries Management Council","PFMC","Pacific Coast Groundfish FMP","SS",4,"Northwest",0,1,1,1,1,0,"1","Pacific Coast","ROCKFISH, CHINA",7.75,15.85714,142019.723,"reef-associated, piscivorous/omnivorous",0,0.45,1,1,18325.1255483871,"Pacific"
"83","China rockfish","Sebastes nebulosus","Southern Pacific Coast","Southern Pacific Coast","Pacific Fisheries Management Council","PFMC","Pacific Coast Groundfish FMP","SS",4,"Northwest",0,1,1,1,1,0,"1","Pacific Coast","ROCKFISH, CHINA",7.75,15.85714,142019.723,"reef-associated, piscivorous/omnivorous",0,0.45,1,1,18325.1255483871,"Pacific"
"84","Clearnose skate","Raja eglanteria","Southern New England / Mid-Atlantic","Southern New England / Mid-Atlantic","New England Fisheries Management Council","NEFMC","Northeast Multispecies FMP","Index Method",2,"Northeast",0,0,1,0,0,0,"0","New England","SKATE, CLEARNOSE",2.66666667,8.25,2846.32679,"demersal/benthic, piscivorous/omnivorous",0,0.84,1,0,1067.37254491578,"New England"
"85","Cobia","Rachycentron canadum","Gulf of Mexico","Gulf of Mexico","Gulf of Mexico Fisheries Management Council","GMFMC-SAFMC","Coastal Migratory Pelagic FMP","SS",4,"Southeast",0,1,1,0,1,NA,"0","South Atlantic","COBIA",39.5833333,886.5833,325963.577,"reef-associated, piscivorous/omnivorous",0,2,1,1,8234.86932061884,"Joint Council Mgmt, Atlantic"
"86","Common bluestripe snapper","Lutjanus kasmira","American Samoa","American Samoa","Western Pacific Fisheries Management Council","WPFMC","American Samoa Archipelago Ecosystem","SS",4,"Pacific Islands",0,0,0,0,0,0,"0","Hawaii","SNAPPER, BLUESTRIPE",13.1538462,9.55556,65155.5532,"reef-associated, piscivorous/omnivorous",0,0.4,1,0,4953.34613232744,"Western Pacific"
"87","Copper rockfish","Sebastes caurinus","Northern California","California","Pacific Fisheries Management Council","PFMC","Pacific Coast Groundfish FMP","SS",4,"Northwest",0,1,1,0,1,0,"0","Pacific Coast","ROCKFISH, COPPER",9.125,89.80952,119888.574,"demersal/benthic, piscivorous/omnivorous",0,0.58,1,1,13138.4738630137,"Pacific"
"88","Copper rockfish","Sebastes caurinus","Southern California","California","Pacific Fisheries Management Council","PFMC","Pacific Coast Groundfish FMP","SS",4,"Northwest",0,1,1,0,1,0,"0","Pacific Coast","ROCKFISH, COPPER",9.125,89.80952,119888.574,"demersal/benthic, piscivorous/omnivorous",0,0.58,1,0,13138.4738630137,"Pacific"
"89","Copper rockfish","Sebastes caurinus","Oregon","Oregon and Washington","Pacific Fisheries Management Council","PFMC","Pacific Coast Groundfish FMP","SS",4,"Northwest",0,1,1,1,1,0,"1","Pacific Coast","ROCKFISH, COPPER",9.125,89.80952,119888.574,"demersal/benthic, piscivorous/omnivorous",0,0.58,1,1,13138.4738630137,"Pacific"
"90","Copper rockfish","Sebastes caurinus","Washington","Oregon and Washington","Pacific Fisheries Management Council","PFMC","Pacific Coast Groundfish FMP","SS",4,"Northwest",0,1,1,1,1,0,"1","Pacific Coast","ROCKFISH, COPPER",9.125,89.80952,119888.574,"demersal/benthic, piscivorous/omnivorous",0,0.58,1,1,13138.4738630137,"Pacific"
