"","Common.Name","Scientific.Name","Stock.Assessment.Area","Stock.Status.Area","Council","Council.Abbv","FMP","Assessment.Model","Assessment.Model.Type","Science.Center.Region","Rebuilding.Program.Status","SI.stock.boundaries","SI.data.prep","SI.model","SI.sci.advice","SI.other","Spatially.Explict.Implict","NOAA.Region.Name","NMFS.Name","Ave.Metric.Tons_Commercial","Ave.Metric.Tons_Recreational","Ave.Dollars.Adj_Commercial","Ecological","Schooling","Max.Length.m","Transboundary","Fisheries.Dep.Only","PerTon_Ave.Dollars.Adj_Commercial","Mgmt.Council"
"330","White hake","Urophycis tenuis","Gulf of Maine / Georges Bank","Gulf of Maine / Georges Bank","New England Fisheries Management Council","NEFMC","Northeast Multispecies FMP","ASAP",4,"Northeast",1,0,0,0,0,1,"0","New England","HAKE, WHITE",2198.16667,9.173913,6316042.45,"demersal/benthic, piscivorous/omnivorous",0,1.33,1,0,2873.32281769153,"New England"
"331","White marlin","Kajikia albida","Atlantic","Atlantic","Highly Migratory Species; International Convention for the Conservation of Atlantic Tuna","NOAA HMS-ICCAT","Atlantic/Gulf HMS FMP","SS, JABBA",4,"ICCAT",1,0,0,0,0,NA,"0","NOAA HMS, ICCAT","MARLIN, WHITE",NA,39.5,NA,"pelagic-oceanic, piscivorous/omnivorous",0,3,1,1,NA,"International, Atlantic"
"332","White shrimp","Litopenaeus setiferus","Gulf of Mexico","Gulf of Mexico","Gulf of Mexico Fisheries Management Council","GMFMC","Shrimp FMP","SS",4,"Southeast",0,0,1,0,0,0,"0","Gulf","SHRIMP, NORTHERN WHITE",22349.771,NA,127592817,"demersal/benthic, piscivorous/omnivorous",0,0.224,1,NA,5708.90936645391,"Gulf of Mexico"
"333","White shrimp","Litopenaeus setiferus","Southern Atlantic Coast","Southern Atlantic Coast","South Atlantic Fisheries Management Council","SAFMC","Shrimp FMP","Survey Abundance",2,"Southeast",0,0,0,0,0,0,"0","South Atlantic","SHRIMP, NORTHERN WHITE",6041.958,NA,45307191.4,"demersal/benthic, piscivorous/omnivorous",0,0.224,1,NA,7498.7597398062,"South Atlantic"
"334","Widow rockfish","Sebastes entomelas","Pacific Coast","Pacific Coast","Pacific Fisheries Management Council","PFMC","Pacific Coast Groundfish FMP","SS",4,"Northwest, Southwest",0,0,1,0,0,0,"0","Pacific Coast","ROCKFISH, WIDOW",3279.125,9.65,2438852.68,"pelagic-neritic, piscivorous/omnivorous",1,0.6,1,0,743.751055540731,"Pacific"
"335","Windowpane","Scophthalmus aquosus","Gulf of Maine / Georges Bank","Gulf of Maine / Georges Bank","New England Fisheries Management Council","NEFMC","Northeast Multispecies FMP","Empirical Approach",2,"Northeast",1,0,0,0,0,1,"0","New England","WINDOWPANE",32.75,0,43081.2782,"demersal/benthic, piscivorous/omnivorous",0,0.457,1,0,1315.45887633588,"New England"
"336","Windowpane","Scophthalmus aquosus","Southern New England / Mid-Atlantic","Southern New England / Mid-Atlantic","New England Fisheries Management Council","NEFMC","Northeast Multispecies FMP","AIM",2,"Northeast",0,0,0,0,0,1,"0","New England","WINDOWPANE",32.75,0,43081.2782,"demersal/benthic, piscivorous/omnivorous",0,0.457,1,0,1315.45887633588,"New England"
"337","Winter flounder","Pseudopleuronectes americanus","Georges Bank","Georges Bank","New England Fisheries Management Council","NEFMC","Northeast Multispecies FMP","ADAPT",3,"Northeast",1,1,0,0,0,1,"0","New England","FLOUNDER, WINTER",2368.25,111.75,11459314.9,"demersal/benthic, piscivorous/omnivorous",0,0.64,1,0,4838.7268658292,"New England"
"338","Winter flounder","Pseudopleuronectes americanus","Gulf of Maine","Gulf of Maine","New England Fisheries Management Council","NEFMC","Northeast Multispecies FMP","Area-swept Biomass",2,"Northeast",0,0,0,0,0,0,"0","New England","FLOUNDER, WINTER",2368.25,111.75,11459314.9,"demersal/benthic, piscivorous/omnivorous",0,0.64,1,0,4838.7268658292,"New England"
"339","Winter flounder","Pseudopleuronectes americanus","Southern New England / Mid-Atlantic","Southern New England / Mid-Atlantic","New England Fisheries Management Council","NEFMC","Northeast Multispecies FMP","ASAP",4,"Northeast",0,1,1,0,0,0,"0","New England","FLOUNDER, WINTER",2368.25,111.75,11459314.9,"demersal/benthic, piscivorous/omnivorous",0,0.64,1,0,4838.7268658292,"New England"
"340","Winter skate","Leucoraja ocellata","Georges Bank / Southern New England","Georges Bank / Southern New England","New England Fisheries Management Council","NEFMC","Skate Complex FMP","Index Method",2,"Northeast",0,0,1,0,0,0,"0","New England","SKATE, WINTER",5003.23529,2.26666667,3387004.49,"demersal/benthic, piscivorous/omnivorous",0,1.13,1,0,676.962863763299,"New England"
"341","Witch flounder","Glyptocephalus cynoglossus","Northwestern Atlantic Coast","Northwestern Atlantic Coast","New England Fisheries Management Council","NEFMC","Northeast Multispecies FMP","Empirical Approach",2,"Northeast",1,0,0,0,0,0,"0","New England","FLOUNDER, WITCH",1308.25,NA,6992298.19,"demersal/benthic, piscivorous/omnivorous",0,0.6,1,0,5344.77216892796,"New England"
