Common.Name,Scientific.Name,Stock.Assessment.Area,Stock.Status.Area,Council,Council.Abbv,FMP,Assessment.Model,Assessment.Model.Type,Science.Center.Region,Rebuilding.Program.Status,SI.stock.boundaries,SI data prep,SI model,SI sci advice,SI other,Spatially.Explict.Implict,NOAA.Region.Name,NMFS.Name,Ave.Metric.Tons_Commercial,Ave.Metric.Tons_Recreational,Ave.Dollars.Adj_Commercial,Ecological,Schooling,Max.Length.m,Transboundary,Fisheries.Dep.Only
Sablefish,Anoplopoma fimbria,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,0,0,0,1,0,1,1,Pacific Coast,SABLEFISH,5548.54167,3.45,32580434.2,bathydemersal,0,1.2,1,0
Sailfish,Istiophorus platypterus,Western Atlantic,Western Atlantic,Highly Migratory Species; International Convention for the Conservation of Atlantic Tuna,NOAA HMS-ICCAT,Atlantic/Gulf HMS FMP,BSP,2,ICCAT,1,0,0,0,0,NA,0,"NOAA HMS, ICCAT",SAILFISH,NA,64.41667,NA,"pelagic-oceanic, piscivorous/omnivorous",0,3.48,1,1
Sand sole,Psettichthys melanostictus,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,DB-SRA,1,"Northwest, Southwest",0,0,0,0,0,0,0,Pacific Coast,"SOLE, SAND",56.5833333,0.55,157074.882,"demersal/benthic, piscivorous/omnivorous",0,0.63,1,1
Sandbar shark,Carcharhinus plumbeus,Atlantic,Atlantic and Gulf of Mexico,Highly Migratory Species; International Convention for the Conservation of Atlantic Tuna,NOAA HMS-ICCAT,Atlantic/Gulf HMS FMP,"SS, Length-based Age Structured Model",4,Southeast,1,0,1,0,0,NA,0,"NOAA HMS, ICCAT","SHARK, SANDBAR",460.2603,93.0935,522934.27,"benthopelagic, piscivorous/omnivorous",0,3,1,0
Scalloped hammerhead,Sphyrna lewini,Atlantic,Atlantic and Gulf of Mexico,Highly Migratory Species; International Convention for the Conservation of Atlantic Tuna,NOAA HMS-ICCAT,Atlantic/Gulf HMS FMP,Surplus Production Model,2,,1,0,0,0,0,NA,0,"NOAA HMS, ICCAT","SHARK, HAMMERHEAD, SCALLOPED",12.938462,104.619044,17236.753,"pelagic-oceanic, piscivorous/omnivorous",0,4.3,1,NA
Scamp,Mycteroperca phenax,Gulf of Mexico,Gulf of Mexico,Gulf of Mexico Fisheries Management Council,GMFMC,Gulf of Mexico Reef Fish FMP,SS,4,Southeast,0,0,1,0,0,1,0,Gulf,SCAMP,56.2083333,98.70833,584315.298,"reef-associated, piscivorous/omnivorous",0,1.07,1,0
Scamp,Mycteroperca phenax,Southern Atlantic Coast,Southern Atlantic Coast,South Atlantic Fisheries Management Council,SAFMC,South Atlantic Snapper Grouper FMP,BAM,4,Southeast,0,1,1,0,0,1,0,South Atlantic,SCAMP,86.1666667,56.29167,1020967.26,"reef-associated, piscivorous/omnivorous",0,1.07,1,0
Scup,Stenotomus chrysops,Atlantic Coast,Atlantic Coast,Mid-Atlantic Fisheries Management Council,MAFMC,"Mid-Atlantic Summer Flounder, Scup, Black Sea Bass FMP",ASAP,4,Northeast,0,0,1,0,0,1,0,Middle Atlantic,SCUP,2592.35,2288.5,5407359.95,"demersal/benthic, piscivorous/omnivorous",0,0.155,1,0
Sea scallop,Placopecten magellanicus,Northwestern Atlantic Coast,Northwestern Atlantic Coast,New England Fisheries Management Council,NEFMC,Atlantic Sea Scallop FMP,CASA,4,Northeast,0,0,1,0,1,0,0,New England,"SCALLOP, SEA",14396.6667,NA,374270945,"demersal/benthic, planktivorous",0,0.2,1,0
Sharpchin rockfish,Sebastes zacentrus,Gulf of Alaska,Gulf of Alaska,North Pacific Fisheries Management Council,NPFMC,Gulf of Alaska Groundfish FMP,Index Method,2,Alaska,0,0,1,1,1,NA,1,Alaska,ROCKFISHES,12938.375,NA,9704091,bathydemersal,0,0.39,1,0
Sharpchin rockfish,Sebastes zacentrus,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,Extended Simple Stock Synthesis,4,Northwest,0,0,1,1,1,NA,1,Pacific Coast,"ROCKFISH, SHARPCHIN",11.75,NA,7369.51048,bathydemersal,0,0.39,1,0
Shortbelly rockfish,Sebastes jordani,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,0,0,0,0,0,0,0,Pacific Coast,"ROCKFISH, SHORTBELLY",113.421053,NA,3706.35089,"demersal/benthic, piscivorous/omnivorous",0,0.32,1,0
Shortfin mako,Isurus oxyrinchus,Atlantic,Atlantic,Highly Migratory Species; International Convention for the Conservation of Atlantic Tuna,NOAA HMS-ICCAT,Atlantic/Gulf HMS FMP,"JABBA, SS3",5,Southeast,1,1,1,0,0,0,0,"NOAA HMS, ICCAT","SHARK, MAKO, SHORTFIN",86.986892,949.1447,297419.18,"pelagic-oceanic, piscivorous/omnivorous",0,4.45,1,0
Shortfin mako,Isurus oxyrinchus,North Pacific,North Pacific,Western Pacific Management Council; Pacific RFMO,WPFMC-P-RFMO,U.S. West Coast Fisheries for Highly Migratory Species / Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem,"Production Model, SS3",5,Pacific Islands,0,1,1,0,0,1,0,Hawaii,"SHARK, MAKO, SHORTFIN",47.25,NA,118939.154,"pelagic-oceanic, piscivorous/omnivorous",0,4.45,1,0
Shortraker rockfish,Sebastes borealis,Bering Sea / Aleutian Islands,Bering Sea / Aleutian Islands,North Pacific Fisheries Management Council,NPFMC,Bering Sea/Aleutian Islands Groundfish FMP,Index Method,2,Alaska,0,0,1,0,1,0,0,Alaska,ROCKFISHES,12938.375,NA,9704091,bathydemersal,0,1.08,1,0
Shortraker rockfish,Sebastes borealis,Gulf of Alaska,Gulf of Alaska,North Pacific Fisheries Management Council,NPFMC,Gulf of Alaska Groundfish FMP,Index Method,2,Alaska,0,0,1,0,1,0,0,Alaska,ROCKFISHES,12938.375,NA,9704091,bathydemersal,0,1.08,1,0
Shortraker rockfish,Sebastes borealis,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,DB-SRA,1,"Northwest, Southwest",0,0,0,0,0,0,0,Pacific Coast,"ROCKFISH, SHORTRAKER",15.55,NA,22513.3849,bathydemersal,0,1.08,1,1
Shortspine thornyhead,Sebastolobus alascanus,Gulf of Alaska,Gulf of Alaska,North Pacific Fisheries Management Council,NPFMC,Gulf of Alaska Groundfish FMP,Index Method,2,Alaska,0,0,1,1,1,NA,1,Alaska,ROCKFISHES,12938.375,NA,9704091,"demersal/benthic, piscivorous/omnivorous",0,0.8,1,0
Shortspine thornyhead,Sebastolobus alascanus,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,0,0,1,1,0,NA,1,Pacific Coast,"THORNYHEAD, SHORTSPINE",834,NA,3375345.14,"demersal/benthic, piscivorous/omnivorous",0,0.8,1,0
Silky shark,Carcharhinus falciformis,Tropical Pacific,Western and Central Pacific,Western Pacific Fisheries Management Council,WPFMC,Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem,SS,4,Pacific Islands,0,0,1,0,0,0,0,Hawaii,"SHARK, CHONDRICHTHYES (CLASS)",0,NA,107.4979,"reef-associated, piscivorous/omnivorous",0,1,1,1
Silver hake,Merluccius bilinearis,Gulf of Maine / Northern Georges Bank,Gulf of Maine / Northern Georges Bank,New England Fisheries Management Council,NEFMC,Small-Mesh Multispecies FMP,Empirical Approach,2,Northeast,0,1,0,0,0,1,0,New England,"HAKE, SILVER",5451.29167,26.26316,9940180.2,"demersal/benthic, piscivorous/omnivorous",0,0.76,1,0
Silver hake,Merluccius bilinearis,Southern Georges Bank / Mid-Atlantic,Southern Georges Bank / Mid-Atlantic,New England Fisheries Management Council,NEFMC,Northeast Multispecies FMP,Empirical Approach,2,Northeast,0,1,1,0,0,1,0,New England,"HAKE, SILVER",5451.29167,26.26316,9940180.2,"demersal/benthic, piscivorous/omnivorous",0,0.76,1,0
Silvergray rockfish,Sebastes brevispinis,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,DB-SRA,1,"Northwest, Southwest",0,0,0,0,0,0,0,Pacific Coast,"ROCKFISH, SILVERGRAY",17.85,0.1578947,15944.8906,"demersal/benthic, piscivorous/omnivorous",0,0.71,1,1
Skipjack tuna,Katsuwonus pelamis,Central Western Pacific,Central Western Pacific,Western Pacific Management Council; Pacific RFMO,WPFMC-P-RFMO,U.S. West Coast Fisheries for Highly Migratory Species / Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem,Multifan-CL,4,Pacific Islands,0,1,1,1,0,1,2,Hawaii,"TUNA, SKIPJACK",219.384615,NA,983347.771,"pelagic-oceanic, piscivorous/omnivorous",1,1.11,1,1
Skipjack tuna,Katsuwonus pelamis,Eastern Pacific,Eastern Pacific,Western Pacific Management Council; Pacific RFMO,WPFMC-P-RFMO,U.S. West Coast Fisheries for Highly Migratory Species / Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem,SS,4,Pacific Islands,0,0,1,1,0,0,1,Hawaii,"TUNA, SKIPJACK",219.384615,NA,983347.771,"pelagic-oceanic, piscivorous/omnivorous",1,1.11,1,1
Skipjack tuna,Katsuwonus pelamis,Western Atlantic,Western Atlantic,Highly Migratory Species; International Convention for the Conservation of Atlantic Tuna,NOAA HMS-ICCAT,Atlantic/Gulf HMS FMP,SS,4,ICCAT,0,1,1,1,1,NA,1,"NOAA HMS, ICCAT","TUNA, SKIPJACK",3.5355332,111.20098,8699.138,"pelagic-oceanic, piscivorous/omnivorous",1,1.11,1,1
Smooth dogfish,Mustelus canis,Atlantic,Atlantic,Highly Migratory Species; International Convention for the Conservation of Atlantic Tuna,NOAA HMS-ICCAT,Atlantic/Gulf HMS FMP,SS,4,Southeast,0,0,1,0,0,NA,0,"NOAA HMS, ICCAT","SHARK, DOGFISH, SMOOTH",672.46,113.4997,927258.08,"demersal/benthic, piscivorous/omnivorous",0,1.5,1,0
Smooth skate,Malacoraja senta,Gulf of Maine,Gulf of Maine,New England Fisheries Management Council,NEFMC,Skate Complex FMP,Index Method,2,Northeast,0,0,1,0,0,0,0,New England,"SKATE, SMOOTH",74.2,NA,51073.0523,bathydemersal,0,0.71,1,0
Snow crab,Chionoecetes opilio,Bering Sea,Bering Sea,North Pacific Fisheries Management Council,NPFMC,Bering Sea/Aleutian Islands King and Tanner Crabs FMP,GMACS,4,Alaska,1,0,0,0,0,1,0,Alaska,"CRAB, SNOW",18120.2609,NA,116993346,"demersal/benthic, piscivorous/omnivorous",0,0.137,1,0
Snowy grouper,Epinephelus niveatus,Southern Atlantic Coast,Southern Atlantic Coast,South Atlantic Fisheries Management Council,SAFMC,South Atlantic Snapper Grouper FMP,BAM,4,Southeast,1,0,0,0,0,0,0,South Atlantic,"GROUPER, SNOWY",61.0416667,22.20833,614576.811,"demersal/benthic, piscivorous/omnivorous",0,1.22,1,0
Southern Tanner crab,Chionoecetes bairdi,Bering Sea,Bering Sea,North Pacific Fisheries Management Council,NPFMC,Bering Sea/Aleutian Islands King and Tanner Crabs FMP,GMACS,4,Alaska,0,1,1,0,1,1,0,Alaska,"CRAB, SOUTHERN TANNER",2097.45833,NA,15498584.6,"demersal/benthic, piscivorous/omnivorous",0,0.15,1,0
Spanish mackerel,Scomberomorus maculatus,Gulf of Mexico,Gulf of Mexico,Gulf of Mexico Fisheries Management Council,GMFMC,Gulf of Mexico Reef Fish FMP,SS,4,Southeast,0,0,0,0,0,1,0,Gulf,"MACKEREL, SPANISH",257.395833,3168.95833,577259.057,"pelagic-neritic, piscivorous/omnivorous",1,0.91,1,0
Spanish mackerel,Scomberomorus maculatus,Gulf of Mexico,Gulf of Mexico,Gulf of Mexico Fisheries Management Council,GMFMC,Coastal Migratory Pelagics FMP,SS,4,Southeast,0,0,1,0,0,0,0,Gulf,"MACKEREL, SPANISH",257.395833,3168.95833,577259.057,"pelagic-neritic, piscivorous/omnivorous",1,0.91,1,0
Spanish mackerel,Scomberomorus maculatus,Southern Atlantic Coast,South Atlantic Coast,South Atlantic Fishery Management Council ,SAFMC,Coastal Migratory Pelagics FMP,BAM,4,Southeast,0,0,0,0,0,0,0,South Atlantic,"MACKEREL, SPANISH",1502.625,1816.5833,4279366.94,"pelagic-neritic, piscivorous/omnivorous",1,0.91,1,0
Spanner crab,Ranina ranina,Main Hawaiian Islands,Main Hawaiian Islands,Western Pacific Fisheries Management Council,WPFMC,Hawaii Archipelago Ecosystem,BSP,2,Pacific Islands,0,0,0,0,0,1,0,Hawaii,"CRAB, DECAPODA (ORDER)",4.076923,NA,53179.47,"demersal/benthic, piscivorous/omnivorous",0,0.15,1,1
Speckled hind,Epinephelus drummondhayi,Southern Atlantic Coast,Southern Atlantic Coast,South Atlantic Fisheries Management Council,SAFMC,South Atlantic Snapper Grouper FMP,Catch Curve,1,Southeast,0,0,0,0,0,0,0,South Atlantic,"HIND, SPECKLED",0,0.125,441.261816,"demersal/benthic, piscivorous/omnivorous",0,1.1,1,NA
Speckled rockfish,Sebastes ovalis,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,DB-SRA,1,Northwest,0,0,0,0,0,0,0,Pacific Coast,"ROCKFISH, SPECKLED",0.40909091,8.473684,3141.31326,"demersal/benthic, piscivorous/omnivorous",0,0.56,1,1
Spiny dogfish,Squalus acanthias,Atlantic Coast,Atlantic Coast,New England Fisheries Management Council; Mid-Atlantic Fisheries Management Council,NEFMC-MAFMC,Spiny Dogfish FMP,SS,4,Northeast,0,0,1,0,0,0,0,New England,"SHARK, DOGFISH, SPINY",3150.29167,44.95833,2034590.86,bathydemersal,0,1.6,1,0
Spiny dogfish,Squalus acanthias,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,0,0,1,1,0,1,1,Pacific Coast,"SHARK, DOGFISH, SPINY",471.708333,2.8,218427.049,bathydemersal,0,1.6,1,0
Splitnose rockfish,Sebastes diploproa,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,0,0,0,0,0,0,0,Pacific Coast,"ROCKFISH, SPLITNOSE",92.25,NA,56662.4697,bathydemersal,0,0.46,1,0
Spotcheek emperor,Lethrinus rubrioperculatus,American Samoa,American Samoa,Western Pacific Fisheries Management Council,WPFMC,American Samoa Archipelago Ecosystem,SS,4,Pacific Islands,0,0,0,0,0,0,0,Hawaii,NA,NA,NA,NA,"reef-associated, piscivorous/omnivorous",0,0.57,1,NA
Squarespot rockfish,Sebastes hopkinsi,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,0,0,0,1,0,0,1,Pacific Coast,"ROCKFISH, SQUARESPOT",0.06666667,9.631579,943.086832,"reef-associated, piscivorous/omnivorous",0,0.29,1,0
Starry flounder,Platichthys stellatus,Northern Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,DB-SRA,1,"Northwest, Southwest",0,0,0,0,0,0,0,Pacific Coast,"FLOUNDER, STARRY",43.5833333,0.95,68105.4526,"demersal/benthic, piscivorous/omnivorous",0,0.91,1,0
Starry flounder,Platichthys stellatus,Southern Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,DB-SRA,1,"Northwest, Southwest",0,0,0,0,0,0,0,Pacific Coast,"FLOUNDER, STARRY",43.5833333,0.95,68105.4526,"demersal/benthic, piscivorous/omnivorous",0,0.91,1,0
Starry rockfish,Sebastes constellatus,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,DB-SRA,1,Northwest,0,0,0,0,0,0,0,Pacific Coast,"ROCKFISH, STARRY",1.04166667,26.78947,8226.20444,"reef-associated, piscivorous/omnivorous",0,0.46,1,1
Striped marlin,Kajikia audax,Central Western Pacific,Central Western Pacific,Western Pacific Management Council; Pacific RFMO,WPFMC-P-RFMO,U.S. West Coast Fisheries for Highly Migratory Species / Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem,SS,4,Pacific Islands,0,1,1,1,0,1,1,Hawaii,"MARLIN, STRIPED",431,18.8,1843677.14,"pelagic-oceanic, piscivorous/omnivorous",0,4.2,1,1
Striped marlin,Kajikia audax,Eastern Pacific,Eastern Pacific,Pacific Fisheries Management Council; Pacific RFMO,PFMC-P-RFMO,U.S. West Coast Fisheries for Highly Migratory Species / Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem,SS,4,Pacific Islands,0,0,1,0,0,1,0,Hawaii,"MARLIN, STRIPED",431,18.8,1843677.14,"pelagic-oceanic, piscivorous/omnivorous",0,4.2,1,1
Stripetail rockfish,Sebastes saxicola,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,Extended Simple Stock Synthesis,4,Northwest,0,0,0,0,0,0,0,Pacific Coast,"ROCKFISH, STRIPETAIL",2.35294118,0,1301.7537,"demersal/benthic, piscivorous/omnivorous",0,0.38,1,0
Summer flounder,Paralichthys dentatus,Mid-Atlantic Coast,Mid-Atlantic Coast,Mid-Atlantic Fisheries Management Council,MAFMC,"Summer Flounder, Scup, Black Sea Bass FMP",ASAP,4,Northeast,0,0,1,0,0,1,0,Middle Atlantic,"FLOUNDER, SUMMER",2630.29167,5405.4167,17054525.3,"demersal/benthic, piscivorous/omnivorous",0,0.94,0,0
Swordfish,Xiphias gladius,Eastern Pacific,Eastern Pacific,Western Pacific Management Council; Pacific Fisheries Management Council; Pacific RFMO,WPFMC-PFMC-P-RFMO,U.S. West Coast Fisheries for Highly Migratory Species / Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem,Bayesian State-Space production model,5,Pacific Islands,0,1,1,1,0,1,1,Hawaii,SWORDFISH,863.076923,NA,6800254.49,"pelagic-oceanic, piscivorous/omnivorous",0,4.55,1,1
Swordfish,Xiphias gladius,North Atlantic,North Atlantic,Highly Migratory Species; International Convention for the Conservation of Atlantic Tuna,NOAA HMS-ICCAT,Atlantic/Gulf HMS FMP,"SS, JABBA, ASPIC",4,ICCAT,0,1,1,1,1,NA,1,"NOAA HMS, ICCAT",SWORDFISH,1402.3927,403.46936,12893276.2,"pelagic-oceanic, piscivorous/omnivorous",0,4.55,1,1
Swordfish,Xiphias gladius,Western and Central North Pacific,Western and Central North Pacific,Western Pacific Management Council; Pacific Fisheries Management Council; Pacific RFMO,WPFMC-PFMC-P-RFMO,U.S. West Coast Fisheries for Highly Migratory Species / Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem,SS,4,Pacific Islands,0,1,1,1,0,1,1,Hawaii,SWORDFISH,863.076923,NA,6800254.49,"pelagic-oceanic, piscivorous/omnivorous",0,4.55,1,1
Swordspine rockfish,Sebastes ensifer,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,DB-SRA,1,"Northwest, Southwest",0,0,0,0,0,0,0,Pacific Coast,"ROCKFISH, SWORDSPINE",NA,0.7692308,NA,"demersal/benthic, piscivorous/omnivorous",0,0.3,1,1
Thorny skate,Amblyraja radiata,Gulf of Maine,Gulf of Maine,New England Fisheries Management Council,NEFMC,Skate Complex FMP,Index Method,2,Northeast,1,0,1,0,0,0,0,New England,"SKATE, THORNY",0,2,7810,"demersal/benthic, piscivorous/omnivorous",0,1.05,1,0
Thresher shark,Alopias vulpinus,North Pacific,North Pacific,Western Pacific Management Council; Pacific Fisheries Management Council; Pacific RFMO,WPFMC-PFMC-P-RFMO,U.S. West Coast Fisheries for Highly Migratory Species / Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem,SS,4,Pacific Islands,0,1,1,1,0,0,1,Hawaii,"SHARKS, THRESHER",7.5714286,NA,8367.25,"pelagic-oceanic, piscivorous/omnivorous",0,5.73,1,0
Tiger rockfish,Sebastes nigrocinctus,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,DB-SRA,1,"Northwest, Southwest",0,0,0,0,0,0,0,Pacific Coast,"ROCKFISH, TIGER",0.05,1.238095,2883.0936,"reef-associated, piscivorous/omnivorous",0,0.61,1,1
Tilefish,Lopholatilus chamaeleonticeps,Gulf of Mexico,Gulf of Mexico,Gulf of Mexico Fisheries Management Council,GMFMC,Gulf of Mexico Reef Fish FMP,SS3,4,Southeast,0,1,1,1,0,NA,1,Gulf,"TILEFISH, GOLDEN",89.4583333,26.33333,600162.42,"demersal/benthic, piscivorous/omnivorous",0,1.25,1,0
Tilefish,Lopholatilus chamaeleonticeps,Mid-Atlantic Coast,Mid-Atlantic Coast,Mid-Atlantic Fisheries Management Council,MAFMC,Tilefish FMP,ASAP,4,Northeast,0,0,1,0,0,0,0,Middle Atlantic,"TILEFISH, GOLDEN",721.208333,179.3333,6000390.1,"demersal/benthic, piscivorous/omnivorous",0,1.25,1,1
Tilefish,Lopholatilus chamaeleonticeps,Southern Atlantic Coast,Southern Atlantic Coast,South Atlantic Fisheries Management Council,SAFMC,South Atlantic Snapper Grouper FMP,ASAP,4,Southeast,0,0,0,0,0,0,0,South Atlantic,"TILEFISH, GOLDEN",180.791667,34.56522,1586472.62,"demersal/benthic, piscivorous/omnivorous",0,1.25,1,0
Tope,Galeorhinus galeus,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,DCAC,1,"Northwest, Southwest",0,0,0,0,0,0,0,Pacific Coast,"SHARK, TOPE",15.2083333,0.5,31207.7523,"benthopelagic, piscivorous/omnivorous",0,1.93,1,1
Treefish,Sebastes serriceps,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,DB-SRA,1,"Northwest, Southwest",0,0,0,0,0,0,0,Pacific Coast,"ROCKFISH, TREEFISH",1.70833333,8.157895,39852.078,"demersal/benthic, piscivorous/omnivorous",0,0.41,1,1
Vermilion rockfish,Sebastes miniatus,Oregon,Oregon and Washington,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,0,1,1,1,1,0,1,Pacific Coast,"ROCKFISH, VERMILION",36.875,212.5714,285530.876,"reef-associated, piscivorous/omnivorous",0,0.91,1,1
Vermilion rockfish,Sebastes miniatus,Washington,Oregon and Washington,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,0,1,1,1,1,0,1,Pacific Coast,"ROCKFISH, VERMILION",36.875,212.5714,285530.876,"reef-associated, piscivorous/omnivorous",0,0.91,1,1
Vermilion rockfish and Sunset rockfish,Sebastes miniatus and S. crocotulus,Northern California,California,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,0,1,1,1,1,0,1,Pacific Coast,NA,NA,NA,NA,"reef-associated, piscivorous/omnivorous",0,0.91,1,1
Vermilion rockfish and Sunset rockfish,Sebastes miniatus and S. crocotulus,Southern California,California,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,0,1,1,1,1,0,1,Pacific Coast,NA,NA,NA,NA,"reef-associated, piscivorous/omnivorous",0,0.91,1,1
Vermilion snapper,Rhomboplites aurorubens,Gulf of Mexico,Gulf of Mexico,Gulf of Mexico Fisheries Management Council,GMFMC,Gulf of Mexico Reef Fish FMP,SS,4,Southeast,0,1,1,1,0,NA,1,Gulf,"SNAPPER, VERMILION",411.895833,545.4583,3067921.21,"demersal/benthic, piscivorous/omnivorous",1,0.6,1,0
Vermilion snapper,Rhomboplites aurorubens,Southern Atlantic Coast,Southern Atlantic Coast,South Atlantic Fisheries Management Council,SAFMC,South Atlantic Snapper Grouper FMP,Beaufort Statistical Catch-at-Age Model,4,Southeast,0,0,1,0,0,NA,0,South Atlantic,"SNAPPER, VERMILION",422.666667,232.5417,3947540.8,"demersal/benthic, piscivorous/omnivorous",1,0.6,1,0
Wahoo,Acanthocybium solandri,Southern Atlantic Coast,Southern Atlantic Coast,South Atlantic Fisheries Management Council,SAFMC,Dolphin Wahoo FMP,unknown,NA,Southeast,0,0,0,0,0,0,0,South Atlantic,WAHOO,19.375,19.375,183459.449,"pelagic-oceanic, piscivorous/omnivorous",0,2.5,1,NA
Walleye pollock,Gadus chalcogrammus,Aleutian Islands,Aleutian Islands,North Pacific Fisheries Management Council,NPFMC,Bering Sea/Aleutian Islands Groundfish FMP,AMAK,4,Alaska,0,0,1,0,0,0,0,Alaska,"POLLOCK, WALLEYE",1373616.96,NA,471116010,"benthopelagic, piscivorous/omnivorous",0,0.91,1,0
Walleye pollock,Gadus chalcogrammus,Bogoslof,Bogoslof,North Pacific Fisheries Management Council,NPFMC,Bering Sea/Aleutian Islands Groundfish FMP,Index Method,2,Alaska,0,0,1,0,0,0,0,Alaska,"POLLOCK, WALLEYE",1373616.96,NA,471116010,"benthopelagic, piscivorous/omnivorous",0,0.91,1,0
Walleye pollock,Gadus chalcogrammus,Eastern Bering Sea,Eastern Bering Sea,North Pacific Fisheries Management Council,NPFMC,Gulf of Alaska Groundfish FMP,Custom SCAA,4,Alaska,0,0,1,0,0,0,0,Alaska,"POLLOCK, WALLEYE",1373616.96,NA,471116010,"benthopelagic, piscivorous/omnivorous",0,0.91,1,0
Walleye pollock,Gadus chalcogrammus,Southeast Gulf of Alaska,Southeast Gulf of Alaska,North Pacific Fisheries Management Council,NPFMC,,AMAK,4,Alaska,0,1,1,1,1,1,1,Alaska,"POLLOCK, WALLEYE",1373616.96,NA,471116010,"benthopelagic, piscivorous/omnivorous",0,0.91,1,0
Walleye pollock,Gadus chalcogrammus,Western / Central / West Yakutat Gulf of Alaska,Western / Central / West Yakutat Gulf of Alaska,North Pacific Fisheries Management Council,NPFMC,Gulf of Alaska Groundfish FMP,Custom SCAA,4,Alaska,0,1,1,1,1,1,1,Alaska,"POLLOCK, WALLEYE",1373616.96,NA,471116010,"benthopelagic, piscivorous/omnivorous",0,0.91,1,0
Warsaw grouper,Epinephelus nigritus,Southern Atlantic Coast,Southern Atlantic Coast,South Atlantic Fisheries Management Council,SAFMC,South Atlantic Snapper Grouper FMP,unknown,NA,Southeast,0,0,0,0,0,0,0,South Atlantic,"GROUPER, WARSAW",0,17,903.34218,"demersal/benthic, piscivorous/omnivorous",0,2.3,1,NA
Weathervane scallop,Patinopecten caurinus,Alaska,Alaska,North Pacific Fisheries Management Council,NPFMC,Alaska Scallop Fishery FMP,Index Method,2,Alaska,0,0,0,0,0,0,0,Alaska,"SCALLOP, WEATHERVANE",128.8125,NA,3135020.66,"demersal/benthic, planktivorous",0,0.28,1,0
White grunt,Haemulon plumierii,Southern Atlantic Coast,Southern Atlantic Coast,South Atlantic Fisheries Management Council,SAFMC,South Atlantic Snapper Grouper FMP,unknown,NA,Southeast,0,0,0,0,0,0,0,South Atlantic,"GRUNT, WHITE",8.54166667,168.875,33371.3645,"reef-associated, piscivorous/omnivorous",1,0.53,1,NA
White hake,Urophycis tenuis,Gulf of Maine / Georges Bank,Gulf of Maine / Georges Bank,New England Fisheries Management Council,NEFMC,Northeast Multispecies FMP,ASAP,4,Northeast,1,0,0,0,0,1,0,New England,"HAKE, WHITE",2198.16667,9.173913,6316042.45,"demersal/benthic, piscivorous/omnivorous",0,1.33,1,0
