Common.Name,Scientific.Name,Stock.Assessment.Area,Stock.Status.Area,Council,Council.Abbv,FMP,Assessment.Model,Assessment.Model.Type,Science.Center.Region,Rebuilding.Program.Status,SI.stock.boundaries,SI data prep,SI model,SI sci advice,SI other,Spatially.Explict.Implict,NOAA.Region.Name,NMFS.Name,Ave.Metric.Tons_Commercial,Ave.Metric.Tons_Recreational,Ave.Dollars.Adj_Commercial,Ecological,Schooling,Max.Length.m,Transboundary,Fisheries.Dep.Only
Olive rockfish,Sebastes serranoides,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,DB-SRA,1,"Northwest, Southwest",0,0,0,0,0,0,0,Pacific Coast,"ROCKFISH, OLIVE",1.54166667,38.26316,9514.9933,"reef-associated, piscivorous/omnivorous",0,0.61,1,1
Opalescent inshore squid (California Market Squid),Loligo opalescens,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Coastal Pelagic Species FMP,Egg-escapement Model,1,Southwest,0,0,1,0,0,1,0,Pacific Coast,"SQUID, CALIFORNIA MARKET",65043.2917,NA,56856372.5,"pelagic-oceanic, piscivorous/omnivorous",0,0.192,1,NA
Pacific bluefin tuna,Thunnus orientalis,Pacific,Pacific,Western Pacific Management Council; Pacific Fisheries Management Council; Pacific RFMO,WPFMC-PFMC-P-RFMO,U.S. West Coast Fisheries for Highly Migratory Species / Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem,SS,4,Pacific Islands,0,1,1,1,0,0,1,Hawaii,"TUNA, BLUEFIN",1.666667,NA,26382.11,"pelagic-oceanic, piscivorous/omnivorous",1,3,1,1
Pacific chub mackerel,Scomber japonicus,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Coastal Pelagic Species FMP,SS,4,Southwest,0,0,0,0,0,0,0,Pacific Coast,"MACKEREL, CHUB",4557.70833,183.45,1253315.02,"pelagic-neritic, planktivorous",1,0.64,1,0
Pacific cod,Gadus macrocephalus,Aleutian Islands,Aleutian Islands,North Pacific Fisheries Management Council,NPFMC,Bering Sea/Aleutian Islands Groundfish FMP,Index Method,2,Alaska,0,1,1,1,1,1,1,Alaska,"COD, PACIFIC",246518.042,NA,220088589,"demersal/benthic, piscivorous/omnivorous",0,1.19,1,0
Pacific cod,Gadus macrocephalus,Bering Sea,Bering Sea,North Pacific Fisheries Management Council,NPFMC,Bering Sea/Aleutian Islands Groundfish FMP,SS,4,Alaska,0,0,1,0,0,1,0,Alaska,"COD, PACIFIC",246518.042,NA,220088589,"demersal/benthic, piscivorous/omnivorous",0,1.19,1,0
Pacific cod,Gadus macrocephalus,Gulf of Alaska,Gulf of Alaska,North Pacific Fisheries Management Council,NPFMC,Gulf of Alaska Groundfish FMP,Index Method,2,Alaska,0,0,1,0,1,1,0,Alaska,"COD, PACIFIC",246518.042,NA,220088589,"demersal/benthic, piscivorous/omnivorous",0,1.19,1,0
Pacific grenadier,Coryphaenoides acrolepis,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,DB-SRA,1,"Northwest, Southwest",0,0,0,0,0,0,0,Pacific Coast,"GRENADIER, PACIFIC",25.8,NA,13025.882,bathydemersal,0,1.04,1,1
Pacific hake,Merluccius productus,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council; Pacific RFMO,PFMC-P-RFMO,Pacific Coast Groundfish FMP,SS,4,Northwest,0,0,1,0,1,1,0,Pacific Coast,"HAKE, PACIFIC (WHITING)",199758.708,0.05263158,48539582.6,"pelagic-neritic, piscivorous/omnivorous",0,0.83,1,0
Pacific halibut,Hippoglossus stenolepis,Pacific Coast / Alaska,Pacific Coast/ Alaska,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,IPHC,0,0,1,0,0,1,0,Pacific Coast,"HALIBUT, PACIFIC",552.583333,NA,5907165.55,"demersal/benthic, piscivorous/omnivorous",0,2.58,1,0
Pacific ocean perch,Sebastes alutus,Bering Sea / Aleutian Islands,Bering Sea / Aleutian Islands,North Pacific Fisheries Management Council,NPFMC,Bering Sea/Aleutian Islands Groundfish FMP,Custom SCAA,4,Alaska,0,0,1,0,1,0,0,Alaska,"ROCKFISH, PACIFIC OCEAN PERCH",39147,NA,20238856.6,bathydemersal,0,0.53,1,0
Pacific ocean perch,Sebastes alutus,Gulf of Alaska,Gulf of Alaska,North Pacific Fisheries Management Council,NPFMC,Gulf of Alaska Groundfish FMP,Custom SCAA,4,Alaska,0,0,1,0,1,0,0,Alaska,"ROCKFISH, PACIFIC OCEAN PERCH",39147,NA,20238856.6,bathydemersal,0,0.53,1,0
Pacific ocean perch,Sebastes alutus,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,Custom SCAA,4,Northwest,0,0,0,1,0,0,1,Pacific Coast,"ROCKFISH, PACIFIC OCEAN PERCH",165.208333,0,155000.684,bathydemersal,0,0.53,1,0
Pacific sanddab,Citharichthys sordidus,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,0,0,0,0,0,0,0,Pacific Coast,"FLOUNDER,PACIFIC,SANDDAB",152.041667,37,226007.718,"demersal/benthic, piscivorous/omnivorous",0,0.41,1,0
Pacific sardine,Sardinops sagax,Northern Subpopulation,Northern Subpopulation,Pacific Fisheries Management Council,PFMC,Coastal Pelagic Species FMP,SS,4,Southwest,0,0,0,0,0,0,0,Pacific Coast,"SARDINE, PACIFIC",48416.5833,21.75,11198351,"pelagic-neritic, planktivorous",1,0.395,1,0
Pacific sleeper shark,Somniosus pacificus,Bering Sea / Aleutian Islands,Bering Sea / Aleutian Islands,North Pacific Fisheries Management Council,NPFMC,Bering Sea/Aleutian Islands Groundfish FMP,ORCS,1,Alaska,0,0,0,0,0,0,0,Alaska,NA,NA,NA,NA,"benthopelagic, piscivorous/omnivorous",0,4.4,1,1
Pacific sleeper shark,Somniosus pacificus,Gulf of Alaska,Gulf of Alaska,North Pacific Fisheries Management Council,NPFMC,Gulf of Alaska Groundfish FMP,ORCS,1,Alaska,0,0,0,0,0,0,0,Alaska,NA,NA,NA,NA,"benthopelagic, piscivorous/omnivorous",0,4.4,1,1
Petrale sole,Eopsetta jordani,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,0,0,1,1,0,0,1,Pacific Coast,"SOLE, PETRALE",2228.95833,4,7214756.22,"demersal/benthic, piscivorous/omnivorous",0,0.53,1,0
Pink rockfish,Sebastes eos,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,DB-SRA,1,"Northwest, Southwest",0,0,0,0,0,0,0,Pacific Coast,"ROCKFISH, PINK",0,NA,1295.8339,"demersal/benthic, piscivorous/omnivorous",0,0.56,1,1
Pink shrimp,Farfantepenaeus duorarum,Gulf of Mexico,Gulf of Mexico,Gulf of Mexico Fisheries Management Council,GMFMC,Shrimp FMP,SS,4,Southeast,0,0,1,0,0,0,0,Gulf,"SHRIMP, NORTHERN PINK",2534.979,NA,17300160,"demersal/benthic, piscivorous/omnivorous",0,0.269,1,NA
Pink shrimp,Farfantepenaeus duorarum,Southern Atlantic Coast,Southern Atlantic Coast,South Atlantic Fisheries Management Council,SAFMC,Shrimp FMP,Index Method,2,Southeast,0,0,0,0,0,0,0,South Atlantic,"SHRIMP, NORTHERN PINK",2534.979,NA,17300160,"demersal/benthic, piscivorous/omnivorous",0,0.269,1,NA
Pollock,Pollachius virens,Gulf of Maine / Georges Bank,Gulf of Maine / Georges Bank,New England Fisheries Management Council,NEFMC,Northeast Multispecies FMP,ASAP,4,Northeast,0,1,0,0,0,NA,0,New England,POLLOCK,4891.875,810.875,11246526.1,"demersal/benthic, piscivorous/omnivorous",0,1.3,1,0
Porbeagle ,Lamna nasus,Atlantic,Northwestern Atlantic Coast,Highly Migratory Species; International Convention for the Conservation of Atlantic Tuna,NOAA HMS-ICCAT,Atlantic/Gulf HMS FMP,"ICM, SAFE",1,"Southeast, ICCAT",1,1,0,0,0,0,0,"NOAA HMS, ICCAT","SHARK, PORBEAGLE",1.454545,NA,3175.7765,"pelagic-oceanic, piscivorous/omnivorous",0,3.5,1,1
Queen triggerfish,Balistes vetula,Puerto Rico,Puerto Rico,Caribbean Fisheries Management Council,CFMC,Caribbean Reef Fish FMP,SS,4,Southeast,0,0,1,0,0,NA,0,South Atlantic,"TRIGGERFISH, QUEEN",1.5,7.190476,9686.45544,"reef-associated, piscivorous/omnivorous",0,0.6,1,NA
Queen triggerfish,Balistes vetula,St. Croix,St. Croix,Caribbean Fisheries Management Council,CFMC,Caribbean Reef Fish FMP,SS,4,Southeast,0,0,1,0,0,NA,0,South Atlantic,"TRIGGERFISH, QUEEN",1.5,7.190476,9686.45544,"reef-associated, piscivorous/omnivorous",0,0.6,1,NA
Quillback rockfish,Sebastes maliger,California,California,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,1,0,1,1,1,0,1,Pacific Coast,"ROCKFISH, QUILLBACK",4.05,12.19048,52485.8152,"demersal/benthic, piscivorous/omnivorous",0,0.61,1,1
Quillback rockfish,Sebastes maliger,Oregon,Oregon,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,0,0,1,1,1,0,1,Pacific Coast,"ROCKFISH, QUILLBACK",4.05,12.19048,52485.8152,"demersal/benthic, piscivorous/omnivorous",0,0.61,1,0
Quillback rockfish,Sebastes maliger,Washington,Washington,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,0,0,1,1,1,0,1,Pacific Coast,"ROCKFISH, QUILLBACK",4.05,12.19048,52485.8152,"demersal/benthic, piscivorous/omnivorous",0,0.61,1,0
Red deepsea crab,Chaceon quinquedens,Northwestern Atlantic,Northwestern Atlantic,New England Fisheries Management Council,NEFMC,Atlantic Deep-Sea Red Crab FMP,Index Method,2,Northeast,0,0,0,0,0,1,0,New England,"CRAB, RED DEEPSEA",1606.33333,NA,4802514,"demersal/benthic, piscivorous/omnivorous",0,0.09,1,0
Red drum,Sciaenops ocellatus,Gulf of Mexico,Gulf of Mexico,Gulf of Mexico Fisheries Management Council,GMFMC,Red Drum FMP,unknown,NA,Southeast,0,0,1,0,0,NA,0,Gulf,"DRUM, RED",16.9166667,8038.833,103160.794,"demersal/benthic, piscivorous/omnivorous",0,1.55,1,NA
Red grouper,Epinephelus morio,Gulf of Mexico,Gulf of Mexico,Gulf of Mexico Fisheries Management Council,GMFMC,Gulf of Mexico Reef Fish FMP,SS,4,Southeast,0,0,1,0,0,NA,0,Gulf,"GROUPER, RED",1262.04651,1507.9167,10711082,"reef-associated, piscivorous/omnivorous",0,1.25,1,0
Red grouper,Epinephelus morio,Southern Atlantic Coast,Southern Atlantic Coast,South Atlantic Fisheries Management Council,SAFMC,South Atlantic Snapper Grouper FMP,BAM,4,Southeast,1,0,0,0,0,NA,0,South Atlantic,"GROUPER, RED",85.6666667,185.4583,753467.739,"reef-associated, piscivorous/omnivorous",0,1.25,1,0
Red hake,Urophycis chuss,Gulf of Maine / Northern Georges Bank,Gulf of Maine / Northern Georges Bank,New England Fisheries Management Council,NEFMC,Small-Mesh Multispecies FMP,Empirical Approach,2,Northeast,0,1,0,0,0,1,0,New England,"HAKE, RED",435.333333,5.041667,485525.374,"demersal/benthic, piscivorous/omnivorous",0,0.66,1,0
Red hake,Urophycis chuss,Southern Georges Bank / Mid-Atlantic,Southern Georges Bank / Mid-Atlantic,New England Fisheries Management Council,NEFMC,Northeast Multispecies FMP,Empirical Approach,2,Northeast,1,1,0,0,0,1,0,New England,"HAKE, RED",435.333333,5.041667,485525.374,"demersal/benthic, piscivorous/omnivorous",0,0.66,1,0
Red hind,Epinephelus guttatus,Caribbean,Caribbean,Caribbean Fisheries Management Council,CFMC,Caribbean Reef Fish FMP,Non-Equilibrium Mean Length Estimator,1,Southeast,0,0,0,0,0,NA,0,South Atlantic,"HIND, RED",3.83333333,2.7222,34537.2529,"reef-associated, piscivorous/omnivorous",0,0.76,1,NA
Red king crab,Paralithodes camtschaticus,Bristol Bay,Bristol Bay,North Pacific Fisheries Management Council,NPFMC,Bering Sea/Aleutian Islands Groundfish FMP,GMACS,4,Alaska,0,0,1,0,1,1,0,Alaska,"
CRAB, KING",7511.333,NA,124516855.7,"demersal/benthic, piscivorous/omnivorous",0,0.22,1,0
Red king crab,Paralithodes camtschaticus,Norton Sound,Norton Sound,North Pacific Fisheries Management Council,NPFMC,Bering Sea/Aleutian Islands Groundfish FMP,GMACS,4,Alaska,0,0,1,0,1,1,0,Alaska,"
CRAB, KING",7511.333,NA,124516855.7,"demersal/benthic, piscivorous/omnivorous",0,0.22,1,0
Red king crab,Paralithodes camtschaticus,Pribilof Islands,Pribilof Islands,North Pacific Fisheries Management Council,NPFMC,Bering Sea/Aleutian Islands Groundfish FMP,GMACS,4,Alaska,0,0,1,0,1,1,0,Alaska,"
CRAB, KING",7511.333,NA,124516855.7,"demersal/benthic, piscivorous/omnivorous",0,0.22,1,0
Red king crab,Paralithodes camtschaticus,Western Aleutian Islands,Western Aleutian Islands,North Pacific Fisheries Management Council,NPFMC,Bering Sea/Aleutian Islands Groundfish FMP,Average total catch,1,Alaska,0,0,1,0,1,1,0,Alaska,"
CRAB, KING",7511.333,NA,124516855.7,"demersal/benthic, piscivorous/omnivorous",0,0.22,1,1
Red porgy,Pagrus pagrus,Southern Atlantic Coast,Southern Atlantic Coast,South Atlantic Fisheries Management Council,SAFMC,South Atlantic Snapper Grouper FMP,BAM,4,Southeast,1,0,1,0,0,NA,0,South Atlantic,"PORGY, RED",47.625,55.16667,264017.97,"benthopelagic, piscivorous/omnivorous",0,0.91,1,0
Red snapper,Lutjanus campechanus,Gulf of Mexico,Gulf of Mexico,Gulf of Mexico Fisheries Management Council,GMFMC,Gulf of Mexico Reef Fish FMP,SS,4,Southeast,1,1,1,1,0,0,1,Gulf,"SNAPPER, RED",1182.20833,4477.042,12321634.3,"reef-associated, piscivorous/omnivorous",0,1,1,0
Red snapper,Lutjanus campechanus,Southern Atlantic Coast,Southern Atlantic Coast,South Atlantic Fisheries Management Council,SAFMC,South Atlantic Snapper Grouper FMP,BAM,4,Southeast,1,0,1,0,0,1,0,South Atlantic,"SNAPPER, RED",48.4782609,636,584482.757,"reef-associated, piscivorous/omnivorous",0,1,1,0
Redbanded rockfish,Sebastes babcocki,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,DB-SRA,1,"Northwest, Southwest",0,0,0,0,0,0,0,Pacific Coast,"ROCKFISH, REDBANDED",28.5416667,0,51535.0033,"demersal/benthic, piscivorous/omnivorous",0,0.64,1,1
Redstripe rockfish,Sebastes proriger,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,DB-SRA,1,"Northwest, Southwest",0,0,0,0,0,0,0,Pacific Coast,"ROCKFISH, REDSTRIPE",14.75,0,5254.05616,bathydemersal,0,0.61,1,1
Rex sole,Glyptocephalus zachirus,Eastern Gulf of Alaska,Gulf of Alaska,North Pacific Fisheries Management Council,NPFMC,Gulf of Alaska Groundfish FMP,SS,4,Alaska,0,0,1,0,1,NA,0,Alaska,"SOLE, REX",3128.25,NA,2535790.87,"demersal/benthic, piscivorous/omnivorous",0,0.6,1,0
