Common Name,Scientific Name,Asmt Year,Stock Assessment Area,Stock Status Area,Council,Council Abbv,FMP,Assessment Model,Assessment Model Type,Science Center Region,Rebuilding Program Status,SI stock boundaries,SI data prep,SI model,SI sci advice,SI other,,,,,,,,,,,,
Tilefish,Lopholatilus chamaeleonticeps,2021,Mid-Atlantic Coast,Mid-Atlantic Coast,Mid-Atlantic Fisheries Management Council,MAFMC,Tilefish FMP,ASAP,4,Northeast,,,,,,,,,,,,,,,,,,
Red deepsea crab,Chaceon quinquedens,2023,Northwestern Atlantic,Northwestern Atlantic,New England Fisheries Management Council,NEFMC,Atlantic Deep-Sea Red Crab FMP,Index Method,2,Northeast,,0,0,0,0,1,,,,,,,,,,,,
Winter flounder,Pseudopleuronectes americanus,2022,Gulf of Maine,Gulf of Maine,New England Fisheries Management Council,NEFMC,Northeast Multispecies FMP,Area-swept Biomass,2,Northeast,,0,0,0,0,0,,,,,,,,,,,,
Acadian redfish,Sebastes fasciatus,2023,Gulf of Maine / Georges Bank,Gulf of Maine / Georges Bank,New England Fisheries Management Council,NEFMC,Northeast Multispecies FMP,ASAP,4,Northeast,,1,0,0,0,NA,,,,,,,,,,,,
Goosefish,Lophius americanus,2022,Southern Georges Bank / Mid-Atlantic,Southern Georges Bank / Mid-Atlantic,New England Fisheries Management Council,NEFMC,Northeast Multispecies FMP,Ismooth,0,Northeast,,1,0,0,0,1,,,,,,,,,,,,
Goosefish,Lophius americanus,2022,Gulf of Maine / Northern Georges Bank,Gulf of Maine / Northern Georges Bank,New England Fisheries Management Council,NEFMC,Northeast Multispecies FMP,Plan Ismooth,0,Northeast,,1,0,0,0,1,,,,,,,,,,,,
Haddock,Melanogrammus aeglefinus,2023,Eastern Georges Bank,,New England Fisheries Management Council,NEFMC,Northeast Multispecies FMP,WHAM,5,Northeast,,1,1,0,1,0,,,,,,,,,,,,
Haddock,Melanogrammus aeglefinus,2022,Georges Bank,Georges Bank,New England Fisheries Management Council,NEFMC,Northeast Multispecies FMP,WHAM,5,Northeast,,1,1,0,0,0,,,,,,,,,,,,
Pollock,Pollachius virens,2022,Gulf of Maine / Georges Bank,Gulf of Maine / Georges Bank,New England Fisheries Management Council,NEFMC,Northeast Multispecies FMP,ASAP,4,Northeast,,1,0,0,0,NA,,,,,,,,,,,,
Red hake,Urophycis chuss,2023,Gulf of Maine / Northern Georges Bank,Gulf of Maine / Northern Georges Bank,New England Fisheries Management Council,NEFMC,Small-Mesh Multispecies FMP,Empirical Approach,2,Northeast,,1,0,0,0,1,,,,,,,,,,,,
Yellowtail flounder,Limanda ferruginea,2022,Cape Cod / Gulf of Maine,Cape Cod / Gulf of Maine,New England Fisheries Management Council,NEFMC,Northeast Multispecies FMP,VPA,3,Northeast,,1,0,0,0,0,,,,,,,,,,,,
Windowpane,Scophthalmus aquosus,2023,Southern New England / Mid-Atlantic,Southern New England / Mid-Atlantic,New England Fisheries Management Council,NEFMC,Northeast Multispecies FMP,AIM,2,Northeast,,NA,0,0,0,1,,,,,,,,,,,,
American plaice,Hippoglossoides platessoides,2022,Gulf of Maine / Georges Bank,Gulf of Maine / Georges Bank,New England Fisheries Management Council,NEFMC,Northeast Multispecies FMP,WHAM,5,Northeast,,,,,,,,,,,,,,,,,,
Atlantic cod,Gadus morhua,2023,Western Gulf of Maine,Western Gulf of Maine,New England Fisheries Management Council,NEFMC,Northeast Multispecies FMP,ASAP,4,Northeast,,,,,,,,,,,,,,,,,,
Atlantic cod,Gadus morhua,2023,Southern New England,Southern New England,New England Fisheries Management Council,NEFMC,Northeast Multispecies FMP,unknown,0,Northeast,,,,,,,,,,,,,,,,,,
Barndoor skate,Dipturus laevis,2023,Georges Bank / Southern New England,Georges Bank / Southern New England,New England Fisheries Management Council,NEFMC,Skate Complex FMP,Index Method,2,Northeast,,,,,,,,,,,,,,,,,,
Clearnose skate,Raja eglanteria,2023,Southern New England / Mid-Atlantic,Southern New England / Mid-Atlantic,New England Fisheries Management Council,NEFMC,Northeast Multispecies FMP,Index Method,2,Northeast,,,,,,,,,,,,,,,,,,
Haddock,Melanogrammus aeglefinus,2022,Gulf of Maine,Gulf of Maine,New England Fisheries Management Council,NEFMC,Northeast Multispecies FMP,ASAP,4,Northeast,,,,,,,,,,,,,,,,,,
Little skate,Leucoraja erinacea,2023,Georges Bank / Southern New England,Georges Bank / Southern New England,New England Fisheries Management Council,NEFMC,Skate Complex FMP,Index Method,2,Northeast,,,,,,,,,,,,,,,,,,
Offshore hake,Merluccius albidus,2011,Northwestern Atlantic Coast,Northwestern Atlantic Coast,New England Fisheries Management Council,NEFMC,Northeast Multispecies FMP,"AIM, SEINE",2,Northeast,,,,,,,,,,,,,,,,,,
Rosette skate,Leucoraja garmani,2023,Southern New England / Mid-Atlantic,Southern New England / Mid-Atlantic,New England Fisheries Management Council,NEFMC,Northeast Multispecies FMP,Index Method,2,Northeast,,,,,,,,,,,,,,,,,,
Sea scallop,Placopecten magellanicus,2020,Northwestern Atlantic Coast,Northwestern Atlantic Coast,New England Fisheries Management Council,NEFMC,Atlantic Sea Scallop FMP,CASA,4,Northeast,,,,,,,,,,,,,,,,,,
Silver hake,Merluccius bilinearis,2023,Gulf of Maine / Northern Georges Bank,Gulf of Maine / Northern Georges Bank,New England Fisheries Management Council,NEFMC,Small-Mesh Multispecies FMP,Empirical Approach,2,Northeast,,,,,,,,,,,,,,,,,,
Silver hake,Merluccius bilinearis,2023,Southern Georges Bank / Mid-Atlantic,Southern Georges Bank / Mid-Atlantic,New England Fisheries Management Council,NEFMC,Northeast Multispecies FMP,Empirical Approach,2,Northeast,,,,,,,,,,,,,,,,,,
Smooth skate,Malacoraja senta,2023,Gulf of Maine,Gulf of Maine,New England Fisheries Management Council,NEFMC,Skate Complex FMP,Index Method,2,Northeast,,,,,,,,,,,,,,,,,,
Winter flounder,Pseudopleuronectes americanus,2022,Southern New England / Mid-Atlantic,Southern New England / Mid-Atlantic,New England Fisheries Management Council,NEFMC,Northeast Multispecies FMP,ASAP,4,Northeast,,,,,,,,,,,,,,,,,,
Winter skate,Leucoraja ocellata,2023,Georges Bank / Southern New England,Georges Bank / Southern New England,New England Fisheries Management Council,NEFMC,Skate Complex FMP,Index Method,2,Northeast,,,,,,,,,,,,,,,,,,
Northern shortfin squid,Illex illecebrosus,2022,Northwestern Atlantic Coast,Northwestern Atlantic Coast,,NEFMC-MAFMC,"Atlantic Mackerel, Squid, and Butterfish FMP",ASAP,4,Northeast,,0,0,0,0,0,,,,,,,,,,,,
Spiny dogfish,Squalus acanthias,2023,Atlantic Coast,Atlantic Coast,Mid-Atlantic Fisheries Management Council,NEFMC-MAFMC,Spiny Dogfish FMP,SS,4,Northeast,,,,,,,,,,,,,,,,,,
Quillback rockfish,Sebastes maliger,2021,California,California,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,Rebuilding,0,1,1,1,0,,,,,,,,,,,,
Yelloweye rockfish,Sebastes ruberrimus,2023,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,Rebuilding,0,1,1,1,1,,,,,,,,,,,,
Big skate,Raja binoculata,2019,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,,0,1,0,0,0,,,,,,,,,,,,
Canary rockfish,Sebastes pinniger,2023,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,,0,1,1,0,0,,,,,,,,,,,,
Dover sole,Microstomus pacificus,2021,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,,0,1,1,0,1,,,,,,,,,,,,
Longnose skate,Raja rhina,2019,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,,0,1,1,0,1,,,,,,,,,,,,
Petrale sole,Eopsetta jordani,2023,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,,0,1,1,0,0,,,,,,,,,,,,
Quillback rockfish,Sebastes maliger,2021,Oregon,Oregon,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,,0,1,1,1,0,,,,,,,,,,,,
Quillback rockfish,Sebastes maliger,2021,Washington,Washington,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,,0,1,1,1,0,,,,,,,,,,,,
Shortspine thornyhead,Sebastolobus alascanus,2023,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,,0,1,1,0,NA,,,,,,,,,,,,
Spiny dogfish,Squalus acanthias,2021,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,,0,1,1,0,1,,,,,,,,,,,,
Black rockfish,Sebastes melanops,2023,Oregon,Oregon,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,,1,1,1,1,0,,,,,,,,,,,,
Black rockfish,Sebastes melanops,2023,Point Conception / Oregon Border,California,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,,1,1,1,1,0,,,,,,,,,,,,
Black rockfish,Sebastes melanops,2023,South of Point Conception,California,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,,1,1,1,1,0,,,,,,,,,,,,
Black rockfish,Sebastes melanops,2023,Washington,Washington,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,,1,1,1,1,0,,,,,,,,,,,,
Cabezon,Scorpaenichthys marmoratus,2019,Washington,Pacific,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,Simple SS,4,Northwest,,1,1,1,1,0,,,,,,,,,,,,
Cabezon,Scorpaenichthys marmoratus,2019,Northern California,California,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,,1,1,1,1,0,,,,,,,,,,,,
Cabezon,Scorpaenichthys marmoratus,2019,Northern Pacific Coast,Oregon,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,,1,1,1,1,0,,,,,,,,,,,,
Cabezon,Scorpaenichthys marmoratus,2019,Southern California,California,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,,1,1,1,1,0,,,,,,,,,,,,
Copper rockfish,Sebastes caurinus,2023,Northern California,California,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,,1,1,0,1,0,,,,,,,,,,,,
Copper rockfish,Sebastes caurinus,2023,Southern California,California,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,,1,1,0,1,0,,,,,,,,,,,,
Lingcod,Ophiodon elongatus,2021,Northern Pacific Coast,Northern Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,,1,1,1,1,0,,,,,,,,,,,,
Yellowtail rockfish,Sebastes flavidus,2017,Northern Pacific Coast,Northern Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,,1,1,1,1,0,,,,,,,,,,,,
Yellowtail rockfish,Sebastes flavidus,2017,Southern Pacific Coast,Southern Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,,1,1,1,1,0,,,,,,,,,,,,
Arrowtooth flounder,Reinhardtius stomias,2021,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,,,,,,,,,,,,,,,,,,
Aurora rockfish,Sebastes aurora,2013,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,,,,,,,,,,,,,,,,,,
Brown rockfish,Sebastes auriculatus,2013,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,Extended DBSRA,1,Northwest,,,,,,,,,,,,,,,,,,
California scorpionfish,Scorpaena guttata,2017,Southern California,Southern California,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,,,,,,,,,,,,,,,,,,
Chilipepper,Sebastes goodei,2017,Southern Pacific Coast,Southern Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,,,,,,,,,,,,,,,,,,
China rockfish,Sebastes nebulosus,2019,Central Pacific Coast,Central Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,,,,,,,,,,,,,,,,,,
China rockfish,Sebastes nebulosus,2019,Northern Pacific Coast,Northern Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,,,,,,,,,,,,,,,,,,
China rockfish,Sebastes nebulosus,2019,Southern Pacific Coast,Southern Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,,,,,,,,,,,,,,,,,,
Copper rockfish,Sebastes caurinus,2021,Oregon,Oregon and Washington,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,,,,,,,,,,,,,,,,,,
Copper rockfish,Sebastes caurinus,2021,Washington,Oregon and Washington,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,,,,,,,,,,,,,,,,,,
Darkblotched rockfish,Sebastes crameri,2021,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,,,,,,,,,,,,,,,,,,
English sole,Parophrys vetulus,2013,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,Extended Simple Stock Synthesis,4,Northwest,,,,,,,,,,,,,,,,,,
Greenspotted rockfish,Sebastes chlorostictus,2011,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,,,,,,,,,,,,,,,,,,
Greenstriped rockfish,Sebastes elongatus,2009,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,,,,,,,,,,,,,,,,,,
Jack mackerel,Trachurus symmetricus,1983,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Coastal Pelagic Species FMP,unknown,0,Northwest,,,,,,,,,,,,,,,,,,
Lingcod,Ophiodon elongatus,2021,Southern Pacific Coast,Southern Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,,,,,,,,,,,,,,,,,,
Longspine thornyhead,Sebastolobus altivelis,2019,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,,,,,,,,,,,,,,,,,,
Northern anchovy,Engraulis mordax,2022,Southern Pacific Coast,Southern Pacific Coast,Pacific Fisheries Management Council,PFMC,Coastal Pelagic Species FMP,SS,4,Northwest,,,,,,,,,,,,,,,,,,
Northern anchovy,Engraulis mordax,1995,Northern Pacific Coast,Northern Pacific Coast,Pacific Fisheries Management Council,PFMC,Coastal Pelagic Species FMP,unknown,0,Northwest,,,,,,,,,,,,,,,,,,
Pacific chub mackerel,Scomber japonicus,2023,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Coastal Pelagic Species FMP,SS,4,Northwest,,,,,,,,,,,,,,,,,,
Pacific hake,Merluccius productus,2024,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,,0,1,1,1,1,,,,,,,,,,,,
Pacific halibut,Hippoglossus stenolepis,2022,Pacific Coast / Alaska,Pacific Coast/ Alaska,Pacific Fisheries Management Council,PFMC,,SS,4,Northwest,,,,,,,,,,,,,,,,,,
Pacific ocean perch,Sebastes alutus,2017,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,Custom SCAA,4,Northwest,,,,,,,,,,,,,,,,,,
Pacific sanddab,Citharichthys sordidus,2013,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,,,,,,,,,,,,,,,,,,
Pacific sardine,Sardinops sagax,2024,Northern Subpopulation,Northern Subpopulation,Pacific Fisheries Management Council,PFMC,Coastal Pelagic Species FMP,SS,4,Northwest,,,,,,,,,,,,,,,,,,
Rex sole,Glyptocephalus zachirus,2023,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,,,,,,,,,,,,,,,,,,
Sablefish,Anoplopoma fimbria,2023,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,,,,,,,,,,,,,,,,,,
Sharpchin rockfish,Sebastes zacentrus,2013,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,Extended Simple Stock Synthesis,4,Northwest,,,,,,,,,,,,,,,,,,
Shortbelly rockfish,Sebastes jordani,2007,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,,,,,,,,,,,,,,,,,,
Speckled rockfish,Sebastes ovalis,2010,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,DB-SRA,1,Northwest,,,,,,,,,,,,,,,,,,
Splitnose rockfish,Sebastes diploproa,2009,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,,,,,,,,,,,,,,,,,,
Squarespot rockfish,Sebastes hopkinsi,2021,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,,,,,,,,,,,,,,,,,,
Starry rockfish,Sebastes constellatus,2010,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,DB-SRA,1,Northwest,,,,,,,,,,,,,,,,,,
Stripetail rockfish,Sebastes saxicola,2013,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,Extended Simple Stock Synthesis,4,Northwest,,,,,,,,,,,,,,,,,,
Vermilion rockfish,Sebastes miniatus,2021,Oregon,Oregon and Washington,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,,,,,,,,,,,,,,,,,,
Vermilion rockfish,Sebastes miniatus,2021,Washington,Oregon and Washington,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,,,,,,,,,,,,,,,,,,
Vermilion rockfish and Sunset rockfish,Sebastes miniatus and S. crocotulus,2021,Northern California,California,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,,,,,,,,,,,,,,,,,,
Vermilion rockfish and Sunset rockfish,Sebastes miniatus and S. crocotulus,2021,Southern California,California,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,,,,,,,,,,,,,,,,,,
Bigeye thresher,Alopias superciliosus,2017,Pacific,Pacific,,PFMC-WPFMC,U.S. West Coast Fisheries for Highly Migratory Species / Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem,MIST,1,Northwest,,,,,,,,,,,,,,,,,,
Kelp greenling,Hexagrammos decagrammus,2015,Oregon,Oregon,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,DB-SRA,1,"Northwest, Southwest",,1,1,1,1,0,,,,,,,,,,,,
Blackgill rockfish,Sebastes melanostomus,2019,Southern California,Southern California,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,"DCAC, SS","1, 4","Northwest, Southwest",,,,,,,,,,,,,,,,,,
Blackspotted and Rougheye Rockfish,Sebastes melanostictus and S. aleutianus,2019,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,"DB-SRA, SS","1, 4","Northwest, Southwest",,,,,,,,,,,,,,,,,,
Blue and Deacon Rockfish,Sebastes mystinus and S. diaconus,2019,California,California,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,DCAC,1,"Northwest, Southwest",,,,,,,,,,,,,,,,,,
Blue and Deacon Rockfish,Sebastes mystinus and S. diaconus,2017,Oregon,Oregon,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,DCAC,1,"Northwest, Southwest",,,,,,,,,,,,,,,,,,
Bocaccio,Sebastes paucispinis,2017,Southern Pacific Coast,Southern Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,DB-SRA,1,"Northwest, Southwest",,,,,,,,,,,,,,,,,,
Bronzespotted rockfish,Sebastes gilli,2010,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,DB-SRA,1,"Northwest, Southwest",,,,,,,,,,,,,,,,,,
Cowcod,Sebastes levis,2019,Southern California,Southern California,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,"Northwest, Southwest",,,,,,,,,,,,,,,,,,
Flag rockfish,Sebastes rubrivinctus,2010,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,DB-SRA,1,"Northwest, Southwest",,,,,,,,,,,,,,,,,,
Gopher / Black-and-Yellow Rockfish,Sebastes carnatus and S. chrysomelas,2019,Northern California,Northern California,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,"DCAC, DB-SRA, SS","1, 4","Northwest, Southwest",,,,,,,,,,,,,,,,,,
Grass rockfish,Sebastes rastrelliger,2010,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,DB-SRA,1,"Northwest, Southwest",,,,,,,,,,,,,,,,,,
Greenblotched rockfish,Sebastes rosenblatti,2010,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,DB-SRA,1,"Northwest, Southwest",,,,,,,,,,,,,,,,,,
Honeycomb rockfish,Sebastes umbrosus,2010,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,DCAC,1,"Northwest, Southwest",,,,,,,,,,,,,,,,,,
Kelp rockfish,Sebastes atrovirens,2010,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,DB-SRA,1,"Northwest, Southwest",,,,,,,,,,,,,,,,,,
Leopard shark,Triakis semifasciata,2010,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,DB-SRA,1,"Northwest, Southwest",,,,,,,,,,,,,,,,,,
Mexican rockfish,Sebastes macdonaldi,2010,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,DCAC,1,"Northwest, Southwest",,,,,,,,,,,,,,,,,,
Olive rockfish,Sebastes serranoides,2010,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,DB-SRA,1,"Northwest, Southwest",,,,,,,,,,,,,,,,,,
Pacific grenadier,Coryphaenoides acrolepis,2010,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,DB-SRA,1,"Northwest, Southwest",,,,,,,,,,,,,,,,,,
Pink rockfish,Sebastes eos,2010,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,DB-SRA,1,"Northwest, Southwest",,,,,,,,,,,,,,,,,,
Redbanded rockfish,Sebastes babcocki,2010,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,DB-SRA,1,"Northwest, Southwest",,,,,,,,,,,,,,,,,,
Redstripe rockfish,Sebastes proriger,2010,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,DB-SRA,1,"Northwest, Southwest",,,,,,,,,,,,,,,,,,
Rock sole,Lepidopsetta bilineata,2010,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,DB-SRA,1,"Northwest, Southwest",,,,,,,,,,,,,,,,,,
Rosethorn rockfish,Sebastes helvomaculatus,2010,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,DB-SRA,1,"Northwest, Southwest",,,,,,,,,,,,,,,,,,
Rosy rockfish,Sebastes rosaceus,2010,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,DB-SRA,1,"Northwest, Southwest",,,,,,,,,,,,,,,,,,
Sand sole,Psettichthys melanostictus,2010,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,DB-SRA,1,"Northwest, Southwest",,,,,,,,,,,,,,,,,,
Shortraker rockfish,Sebastes borealis,2010,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,DB-SRA,1,"Northwest, Southwest",,,,,,,,,,,,,,,,,,
Silvergray rockfish,Sebastes brevispinis,2010,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,DB-SRA,1,"Northwest, Southwest",,,,,,,,,,,,,,,,,,
Starry flounder,Platichthys stellatus,2017,Northern Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,DB-SRA,1,"Northwest, Southwest",,,,,,,,,,,,,,,,,,
Starry flounder,Platichthys stellatus,2017,Southern Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,DB-SRA,1,"Northwest, Southwest",,,,,,,,,,,,,,,,,,
Swordspine rockfish,Sebastes ensifer,2010,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,DB-SRA,1,"Northwest, Southwest",,,,,,,,,,,,,,,,,,
Tiger rockfish,Sebastes nigrocinctus,2010,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,DB-SRA,1,"Northwest, Southwest",,,,,,,,,,,,,,,,,,
Tope,Galeorhinus galeus,2010,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,DCAC,1,"Northwest, Southwest",,,,,,,,,,,,,,,,,,
Treefish,Sebastes serriceps,2010,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,DB-SRA,1,"Northwest, Southwest",,,,,,,,,,,,,,,,,,
Widow rockfish,Sebastes entomelas,2023,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,"Northwest, Southwest",,,,,,,,,,,,,,,,,,
Yellowmouth rockfish,Sebastes reedi,2010,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,DB-SRA,1,"Northwest, Southwest",,,,,,,,,,,,,,,,,,
Multispecies Complex,Guam Bottomfish Multi-species Complex,2024,Guam,Guam,Western Pacific Fisheries Management Council,WPFMC,Mariana Archipelago Ecosystem,JABBA,2,Pacific Islands,Rebuilding,0,1,0,0,0,,,,,,,,,,,,
