Year,State,NMFS Name,Pounds,Metric Tons,Dollars,Confidentiality,Collection,Scientific Name,Tsn,Source
1995,ALASKA,ABALONES **,"14,352",7,"150,741",Public,Commercial,Haliotidae,69492,AKFINHIST
1994,ALASKA,ABALONES **,"22,879",10,"343,241",Public,Commercial,Haliotidae,69492,AKFINHIST
1993,ALASKA,ABALONES **,"34,852",16,"506,976",Public,Commercial,Haliotidae,69492,AKFINHIST
1992,ALASKA,ABALONES **,"35,960",16,"385,791",Public,Commercial,Haliotidae,69492,AKFINHIST
1991,ALASKA,ABALONES **,"44,082",20,"267,723",Public,Commercial,Haliotidae,69492,AKFINHIST
1990,ALASKA,ABALONES **,"68,386",31,"373,905",Public,Commercial,Haliotidae,69492,AKFINHIST
1989,ALASKA,ABALONES **,"61,804",28,"331,018",Public,Commercial,Haliotidae,69492,AKFINHIST
1988,ALASKA,ABALONES **,"76,100",35,"307,368",Public,Commercial,Haliotidae,69492,AKFINHIST
1987,ALASKA,ABALONES **,"68,199",31,"210,935",Public,Commercial,Haliotidae,69492,AKFINHIST
1986,ALASKA,ABALONES **,"60,666",28,"166,838",Public,Commercial,Haliotidae,69492,AKFINHIST
1985,ALASKA,ABALONES **,"75,053",34,"218,198",Public,Commercial,Haliotidae,69492,AKFINHIST
1984,ALASKA,ABALONES **,"95,707",43,"234,445",Public,Commercial,Haliotidae,69492,AKFINHIST
1983,ALASKA,ABALONES **,"46,804",21,"130,788",Public,Commercial,Haliotidae,69492,AKFINHIST
1982,ALASKA,ABALONES **,"113,284",51,"239,807",Public,Commercial,Haliotidae,69492,AKFINHIST
1981,ALASKA,ABALONES **,"367,189",167,"440,774",Public,Commercial,Haliotidae,69492,AKFINHIST
1980,ALASKA,ABALONES **,"251,971",114,"420,792",Public,Commercial,Haliotidae,69492,AKFINHIST
1979,ALASKA,ABALONES **,"378,685",172,"409,353",Public,Commercial,Haliotidae,69492,AKFINHIST
1978,ALASKA,ABALONES **,"180,102",82,"253,662",Public,Commercial,Haliotidae,69492,AKFINHIST
1977,ALASKA,ABALONES **,"2,600",1,"14,815",Public,Commercial,Haliotidae,69492,AKFINHIST
1976,ALASKA,ABALONES **,100,0,601,Public,Commercial,Haliotidae,69492,AKFINHIST
1975,ALASKA,ABALONES **,"2,700",1,"12,116",Public,Commercial,Haliotidae,69492,AKFINHIST
1973,ALASKA,ABALONES **,700,0,"3,157",Public,Commercial,Haliotidae,69492,AKFINHIST
1972,ALASKA,ABALONES **,"2,000",1,"2,688",Public,Commercial,Haliotidae,69492,AKFINHIST
1971,ALASKA,ABALONES **,900,0,"2,077",Public,Commercial,Haliotidae,69492,AKFINHIST
1967,ALASKA,ABALONES **,"4,400",2,"5,539",Public,Commercial,Haliotidae,69492,AKFINHIST
1966,ALASKA,ABALONES **,"4,900",2,"5,000",Public,Commercial,Haliotidae,69492,AKFINHIST
1964,ALASKA,ABALONES **,"1,100",0,"1,100",Public,Commercial,Haliotidae,69492,AKFINHIST
1967,ALASKA,"ALGAE, MARINE **","399,600",181,"488,692",Public,Commercial,Chlorophyta,846493,AKFINHIST
1966,ALASKA,"ALGAE, MARINE **","662,000",300,"496,491",Public,Commercial,Chlorophyta,846493,AKFINHIST
1964,ALASKA,"ALGAE, MARINE **","398,700",181,"79,740",Public,Commercial,Chlorophyta,846493,AKFINHIST
1963,ALASKA,"ALGAE, MARINE **","199,100",90,"15,920",Public,Commercial,Chlorophyta,846493,AKFINHIST
1962,ALASKA,"ALGAE, MARINE **","46,200",21,"2,310",Public,Commercial,Chlorophyta,846493,AKFINHIST
1965,ALASKA,"BUTTERCLAM, WASHINGTON","1,500",1,"1,000",Public,Commercial,Saxidomus gigantea,568268,AKFINHIST
1955,ALASKA,"BUTTERCLAM, WASHINGTON","158,558",72,"13,509",Public,Commercial,Saxidomus gigantea,568268,AKFINHIST
1954,ALASKA,"BUTTERCLAM, WASHINGTON","9,459",4,643,Public,Commercial,Saxidomus gigantea,568268,AKFINHIST
1953,ALASKA,"BUTTERCLAM, WASHINGTON","80,394",36,"6,432",Public,Commercial,Saxidomus gigantea,568268,AKFINHIST
1952,ALASKA,"BUTTERCLAM, WASHINGTON","23,116",10,"1,828",Public,Commercial,Saxidomus gigantea,568268,AKFINHIST
1951,ALASKA,"BUTTERCLAM, WASHINGTON",80,0,8,Public,Commercial,Saxidomus gigantea,568268,AKFINHIST
1992,ALASKA,CAPELIN,"39,874",18,"19,898",Public,Commercial,Mallotus villosus,162035,AKFINHIST
1991,ALASKA,CAPELIN,222,0,111,Public,Commercial,Mallotus villosus,162035,AKFINHIST
1977,ALASKA,"CHAR, ARCTIC","3,800",2,"1,136",Public,Commercial,Salvelinus alpinus,162001,AKFINHIST
1976,ALASKA,"CHAR, ARCTIC","10,100",5,"2,537",Public,Commercial,Salvelinus alpinus,162001,AKFINHIST
1975,ALASKA,"CHAR, ARCTIC","2,800",1,725,Public,Commercial,Salvelinus alpinus,162001,AKFINHIST
1974,ALASKA,"CHAR, ARCTIC","102,500",46,"32,789",Public,Commercial,Salvelinus alpinus,162001,AKFINHIST
1973,ALASKA,"CHAR, ARCTIC","14,600",7,"1,700",Public,Commercial,Salvelinus alpinus,162001,AKFINHIST
1972,ALASKA,"CHAR, ARCTIC","61,300",28,"9,812",Public,Commercial,Salvelinus alpinus,162001,AKFINHIST
1971,ALASKA,"CHAR, ARCTIC","29,300",13,"4,692",Public,Commercial,Salvelinus alpinus,162001,AKFINHIST
1970,ALASKA,"CHAR, ARCTIC","9,100",4,"1,456",Public,Commercial,Salvelinus alpinus,162001,AKFINHIST
1969,ALASKA,"CHAR, ARCTIC","6,600",3,740,Public,Commercial,Salvelinus alpinus,162001,AKFINHIST
1968,ALASKA,"CHAR, ARCTIC","4,400",2,"1,000",Public,Commercial,Salvelinus alpinus,162001,AKFINHIST
1967,ALASKA,"CHAR, ARCTIC","5,300",2,"1,051",Public,Commercial,Salvelinus alpinus,162001,AKFINHIST
1966,ALASKA,"CHAR, ARCTIC","25,300",11,"5,000",Public,Commercial,Salvelinus alpinus,162001,AKFINHIST
2023,ALASKA,"CLAM, PACIFIC GEODUCK","518,920",235,"4,722,860",Public,Commercial,Panopea abrupta,81779,AKFIN
2022,ALASKA,"CLAM, PACIFIC GEODUCK","335,276",152,"3,259,316",Public,Commercial,Panopea abrupta,81779,AKFIN
2021,ALASKA,"CLAM, PACIFIC GEODUCK","612,589",278,"5,630,584",Public,Commercial,Panopea abrupta,81779,AKFIN
2020,ALASKA,"CLAM, PACIFIC GEODUCK","540,145",245,"2,784,515",Public,Commercial,Panopea abrupta,81779,AKFIN
2019,ALASKA,"CLAM, PACIFIC GEODUCK","593,936",269,"3,637,973",Public,Commercial,Panopea abrupta,81779,AKFIN
2018,ALASKA,"CLAM, PACIFIC GEODUCK","458,701",208,"2,876,030",Public,Commercial,Panopea abrupta,81779,AKFIN
2017,ALASKA,"CLAM, PACIFIC GEODUCK","678,781",308,"4,348,854",Public,Commercial,Panopea abrupta,81779,AKFIN
2016,ALASKA,"CLAM, PACIFIC GEODUCK","479,913",218,"4,468,435",Public,Commercial,Panopea abrupta,81779,AKFIN
2015,ALASKA,"CLAM, PACIFIC GEODUCK","640,171",290,"2,824,419",Public,Commercial,Panopea abrupta,81779,AKFIN
2014,ALASKA,"CLAM, PACIFIC GEODUCK","706,007",320,"2,891,088",Public,Commercial,Panopea abrupta,81779,AKFIN
2013,ALASKA,"CLAM, PACIFIC GEODUCK","541,079",245,"4,227,516",Public,Commercial,Panopea abrupta,81779,AKFIN
2012,ALASKA,"CLAM, PACIFIC GEODUCK","742,569",337,"5,146,710",Public,Commercial,Panopea abrupta,81779,AKFIN
2011,ALASKA,"CLAM, PACIFIC GEODUCK","477,726",217,"4,640,091",Public,Commercial,Panopea abrupta,81779,AKFIN
2010,ALASKA,"CLAM, PACIFIC GEODUCK","917,261",416,"6,131,683",Public,Commercial,Panopea abrupta,81779,AKFIN
2009,ALASKA,"CLAM, PACIFIC GEODUCK","794,649",360,"4,242,035",Public,Commercial,Panopea abrupta,81779,AKFIN
2008,ALASKA,"CLAM, PACIFIC GEODUCK","764,860",347,"2,823,651",Public,Commercial,Panopea abrupta,81779,AKFIN
2007,ALASKA,"CLAM, PACIFIC GEODUCK","808,816",367,"2,848,437",Public,Commercial,Panopea abrupta,81779,AKFIN
2006,ALASKA,"CLAM, PACIFIC GEODUCK","667,269",303,"2,093,686",Public,Commercial,Panopea abrupta,81779,AKFINHIST
2005,ALASKA,"CLAM, PACIFIC GEODUCK","638,976",290,"1,669,349",Public,Commercial,Panopea abrupta,81779,AKFINHIST
2004,ALASKA,"CLAM, PACIFIC GEODUCK","626,562",284,"2,395,144",Public,Commercial,Panopea abrupta,81779,AKFINHIST
2003,ALASKA,"CLAM, PACIFIC GEODUCK","432,727",196,"906,960",Public,Commercial,Panopea abrupta,81779,AKFINHIST
2002,ALASKA,"CLAM, PACIFIC GEODUCK","283,405",129,"208,654",Public,Commercial,Panopea abrupta,81779,AKFINHIST
2000,ALASKA,"CLAM, PACIFIC GEODUCK","419,733",190,"445,337",Public,Commercial,Panopea abrupta,81779,AKFINHIST
1999,ALASKA,"CLAM, PACIFIC GEODUCK","195,767",89,"322,037",Public,Commercial,Panopea abrupta,81779,AKFINHIST
1998,ALASKA,"CLAM, PACIFIC GEODUCK","277,508",126,"964,006",Public,Commercial,Panopea abrupta,81779,AKFINHIST
1997,ALASKA,"CLAM, PACIFIC GEODUCK","10,434",5,"41,746",Public,Commercial,Panopea abrupta,81779,AKFINHIST
1996,ALASKA,"CLAM, PACIFIC GEODUCK","201,068",91,"508,069",Public,Commercial,Panopea abrupta,81779,AKFINHIST
1995,ALASKA,"CLAM, PACIFIC GEODUCK","258,024",117,"580,217",Public,Commercial,Panopea abrupta,81779,AKFINHIST
1994,ALASKA,"CLAM, PACIFIC GEODUCK","147,010",67,"240,508",Public,Commercial,Panopea abrupta,81779,AKFINHIST
1993,ALASKA,"CLAM, PACIFIC GEODUCK","209,322",95,"307,417",Public,Commercial,Panopea abrupta,81779,AKFINHIST
1992,ALASKA,"CLAM, PACIFIC GEODUCK","195,286",89,"215,897",Public,Commercial,Panopea abrupta,81779,AKFINHIST
1991,ALASKA,"CLAM, PACIFIC GEODUCK","247,594",112,"153,255",Public,Commercial,Panopea abrupta,81779,AKFINHIST
1990,ALASKA,"CLAM, PACIFIC GEODUCK","270,806",123,"137,600",Public,Commercial,Panopea abrupta,81779,AKFINHIST
1989,ALASKA,"CLAM, PACIFIC GEODUCK","204,441",93,"103,562",Public,Commercial,Panopea abrupta,81779,AKFINHIST
1988,ALASKA,"CLAM, PACIFIC GEODUCK","189,856",86,"57,338",Public,Commercial,Panopea abrupta,81779,AKFINHIST
1986,ALASKA,"CLAM, PACIFIC GEODUCK","130,961",59,"26,075",Public,Commercial,Panopea abrupta,81779,AKFINHIST
1980,ALASKA,"CLAM, PACIFIC GEODUCK",300,0,210,Public,Commercial,Panopea abrupta,81779,AKFINHIST
2003,ALASKA,"CLAM, PACIFIC LITTLENECK","22,813",10,"148,924",Public,Commercial,Protothaca staminea,81464,AKFINHIST
2002,ALASKA,"CLAM, PACIFIC LITTLENECK","15,069",7,"115,038",Public,Commercial,Protothaca staminea,81464,AKFINHIST
2001,ALASKA,"CLAM, PACIFIC LITTLENECK","14,228",6,"118,664",Public,Commercial,Protothaca staminea,81464,AKFINHIST
1999,ALASKA,"CLAM, PACIFIC LITTLENECK","14,306",6,"124,054",Public,Commercial,Protothaca staminea,81464,AKFINHIST
1977,ALASKA,"CLAM, PACIFIC RAZOR","2,200",1,"2,724",Public,Commercial,Siliqua patula,81008,AKFINHIST
1976,ALASKA,"CLAM, PACIFIC RAZOR",800,0,909,Public,Commercial,Siliqua patula,81008,AKFINHIST
1975,ALASKA,"CLAM, PACIFIC RAZOR","16,000",7,"14,476",Public,Commercial,Siliqua patula,81008,AKFINHIST
1974,ALASKA,"CLAM, PACIFIC RAZOR","95,840",43,"99,779",Public,Commercial,Siliqua patula,81008,AKFINHIST
1973,ALASKA,"CLAM, PACIFIC RAZOR","97,100",44,"88,820",Public,Commercial,Siliqua patula,81008,AKFINHIST
1972,ALASKA,"CLAM, PACIFIC RAZOR","89,800",41,"68,575",Public,Commercial,Siliqua patula,81008,AKFINHIST
1971,ALASKA,"CLAM, PACIFIC RAZOR","102,200",46,"70,152",Public,Commercial,Siliqua patula,81008,AKFINHIST
1970,ALASKA,"CLAM, PACIFIC RAZOR","67,200",30,"40,042",Public,Commercial,Siliqua patula,81008,AKFINHIST
1969,ALASKA,"CLAM, PACIFIC RAZOR","86,300",39,"25,244",Public,Commercial,Siliqua patula,81008,AKFINHIST
1968,ALASKA,"CLAM, PACIFIC RAZOR","33,100",15,"19,806",Public,Commercial,Siliqua patula,81008,AKFINHIST
1967,ALASKA,"CLAM, PACIFIC RAZOR","60,000",27,"29,571",Public,Commercial,Siliqua patula,81008,AKFINHIST
1966,ALASKA,"CLAM, PACIFIC RAZOR","28,600",13,"8,800",Public,Commercial,Siliqua patula,81008,AKFINHIST
1965,ALASKA,"CLAM, PACIFIC RAZOR","87,700",40,"40,000",Public,Commercial,Siliqua patula,81008,AKFINHIST
1964,ALASKA,"CLAM, PACIFIC RAZOR","41,800",19,"19,620",Public,Commercial,Siliqua patula,81008,AKFINHIST
1963,ALASKA,"CLAM, PACIFIC RAZOR","144,000",65,"51,950",Public,Commercial,Siliqua patula,81008,AKFINHIST
1962,ALASKA,"CLAM, PACIFIC RAZOR","239,900",109,"78,670",Public,Commercial,Siliqua patula,81008,AKFINHIST
1961,ALASKA,"CLAM, PACIFIC RAZOR","389,000",176,"119,880",Public,Commercial,Siliqua patula,81008,AKFINHIST
1960,ALASKA,"CLAM, PACIFIC RAZOR","533,522",242,"165,138",Public,Commercial,Siliqua patula,81008,AKFINHIST
1959,ALASKA,"CLAM, PACIFIC RAZOR","472,941",215,"131,054",Public,Commercial,Siliqua patula,81008,AKFINHIST
1958,ALASKA,"CLAM, PACIFIC RAZOR","278,959",127,"86,344",Public,Commercial,Siliqua patula,81008,AKFINHIST
1957,ALASKA,"CLAM, PACIFIC RAZOR","651,674",296,"201,709",Public,Commercial,Siliqua patula,81008,AKFINHIST
1956,ALASKA,"CLAM, PACIFIC RAZOR","610,123",277,"188,847",Public,Commercial,Siliqua patula,81008,AKFINHIST
1955,ALASKA,"CLAM, PACIFIC RAZOR","1,969,226",893,"255,999",Public,Commercial,Siliqua patula,81008,AKFINHIST
1954,ALASKA,"CLAM, PACIFIC RAZOR","1,229,135",558,"159,788",Public,Commercial,Siliqua patula,81008,AKFINHIST
1953,ALASKA,"CLAM, PACIFIC RAZOR","1,486,222",674,"193,209",Public,Commercial,Siliqua patula,81008,AKFINHIST
1952,ALASKA,"CLAM, PACIFIC RAZOR","1,272,454",577,"165,419",Public,Commercial,Siliqua patula,81008,AKFINHIST
1951,ALASKA,"CLAM, PACIFIC RAZOR","2,355,681","1,069","347,574",Public,Commercial,Siliqua patula,81008,AKFINHIST
1950,ALASKA,"CLAM, PACIFIC RAZOR","2,201,717",999,"264,206",Public,Commercial,Siliqua patula,81008,AKFINHIST
2006,ALASKA,CLAMS **,"370,308",168,"225,330",Public,Commercial,Bivalvia,79118,AKFINHIST
2003,ALASKA,CLAMS **,"438,875",199,"326,893",Public,Commercial,Bivalvia,79118,AKFINHIST
2002,ALASKA,CLAMS **,"360,661",164,"902,006",Public,Commercial,Bivalvia,79118,AKFINHIST
1999,ALASKA,CLAMS **,"372,714",169,"210,269",Public,Commercial,Bivalvia,79118,AKFINHIST
1998,ALASKA,CLAMS **,"395,342",179,"219,732",Public,Commercial,Bivalvia,79118,AKFINHIST
1997,ALASKA,CLAMS **,"398,057",181,"225,636",Public,Commercial,Bivalvia,79118,AKFINHIST
1996,ALASKA,CLAMS **,"426,016",193,"286,726",Public,Commercial,Bivalvia,79118,AKFINHIST
1995,ALASKA,CLAMS **,"336,588",153,"263,808",Public,Commercial,Bivalvia,79118,AKFINHIST
1994,ALASKA,CLAMS **,"408,997",186,"262,664",Public,Commercial,Bivalvia,79118,AKFINHIST
1993,ALASKA,CLAMS **,"383,897",174,"304,651",Public,Commercial,Bivalvia,79118,AKFINHIST
1992,ALASKA,CLAMS **,"373,206",169,"257,641",Public,Commercial,Bivalvia,79118,AKFINHIST
1991,ALASKA,CLAMS **,"253,731",115,"158,491",Public,Commercial,Bivalvia,79118,AKFINHIST
1990,ALASKA,CLAMS **,"360,617",164,"208,106",Public,Commercial,Bivalvia,79118,AKFINHIST
1986,ALASKA,CLAMS **,"293,053",133,"171,404",Public,Commercial,Bivalvia,79118,AKFINHIST
1984,ALASKA,CLAMS **,"463,876",210,"332,704",Public,Commercial,Bivalvia,79118,AKFINHIST
1983,ALASKA,CLAMS **,"403,403",183,"262,569",Public,Commercial,Bivalvia,79118,AKFINHIST
1982,ALASKA,CLAMS **,"492,131",223,"241,998",Public,Commercial,Bivalvia,79118,AKFINHIST
1981,ALASKA,CLAMS **,"523,710",238,"274,905",Public,Commercial,Bivalvia,79118,AKFINHIST
1980,ALASKA,CLAMS **,"154,306",70,"108,014",Public,Commercial,Bivalvia,79118,AKFINHIST
1979,ALASKA,CLAMS **,"157,262",71,"92,301",Public,Commercial,Bivalvia,79118,AKFINHIST
1978,ALASKA,CLAMS **,"78,212",35,"77,874",Public,Commercial,Bivalvia,79118,AKFINHIST
1962,ALASKA,"COCKLE, NUTTALL",500,0,260,Public,Commercial,Clinocardium nuttallii,80873,AKFINHIST
1961,ALASKA,"COCKLE, NUTTALL","1,500",1,860,Public,Commercial,Clinocardium nuttallii,80873,AKFINHIST
1960,ALASKA,"COCKLE, NUTTALL","20,675",9,"10,540",Public,Commercial,Clinocardium nuttallii,80873,AKFINHIST
1957,ALASKA,"COCKLE, NUTTALL",160,0,45,Public,Commercial,Clinocardium nuttallii,80873,AKFINHIST
1956,ALASKA,"COCKLE, NUTTALL","20,420",9,"6,534",Public,Commercial,Clinocardium nuttallii,80873,AKFINHIST
1954,ALASKA,"COCKLE, NUTTALL","67,778",31,"5,422",Public,Commercial,Clinocardium nuttallii,80873,AKFINHIST
1953,ALASKA,"COCKLE, NUTTALL","20,200",9,"1,616",Public,Commercial,Clinocardium nuttallii,80873,AKFINHIST
1952,ALASKA,"COCKLE, NUTTALL","8,830",4,662,Public,Commercial,Clinocardium nuttallii,80873,AKFINHIST
1951,ALASKA,"COCKLE, NUTTALL","32,073",15,"2,566",Public,Commercial,Clinocardium nuttallii,80873,AKFINHIST
1950,ALASKA,"COCKLE, NUTTALL","73,200",33,"4,392",Public,Commercial,Clinocardium nuttallii,80873,AKFINHIST
2023,ALASKA,"COD, PACIFIC","373,694,220","169,507","151,605,119",Public,Commercial,Gadus macrocephalus,164711,AKFIN
2022,ALASKA,"COD, PACIFIC","402,864,560","182,738","183,052,045",Public,Commercial,Gadus macrocephalus,164711,AKFIN
2021,ALASKA,"COD, PACIFIC","330,496,006","149,912","120,619,219",Public,Commercial,Gadus macrocephalus,164711,AKFIN
2020,ALASKA,"COD, PACIFIC","380,338,622","172,520","160,891,898",Public,Commercial,Gadus macrocephalus,164711,AKFIN
2019,ALASKA,"COD, PACIFIC","463,723,847","210,344","118,593,170",Public,Commercial,Gadus macrocephalus,164711,AKFIN
2018,ALASKA,"COD, PACIFIC","512,697,896","232,558","184,153,301",Public,Commercial,Gadus macrocephalus,164711,AKFIN
2017,ALASKA,"COD, PACIFIC","657,266,257","298,134","194,058,038",Public,Commercial,Gadus macrocephalus,164711,AKFIN
2016,ALASKA,"COD, PACIFIC","707,151,529","320,762","170,629,498",Public,Commercial,Gadus macrocephalus,164711,AKFIN
2015,ALASKA,"COD, PACIFIC","697,160,182","316,230","174,380,395",Public,Commercial,Gadus macrocephalus,164711,AKFIN
2014,ALASKA,"COD, PACIFIC","716,593,813","325,045","153,274,859",Public,Commercial,Gadus macrocephalus,164711,AKFIN
2013,ALASKA,"COD, PACIFIC","681,318,098","309,044","156,129,081",Public,Commercial,Gadus macrocephalus,164711,AKFIN
2012,ALASKA,"COD, PACIFIC","716,899,276","325,183","171,206,230",Public,Commercial,Gadus macrocephalus,164711,AKFIN
2011,ALASKA,"COD, PACIFIC","663,188,251","300,820","163,440,122",Public,Commercial,Gadus macrocephalus,164711,AKFIN
2010,ALASKA,"COD, PACIFIC","538,759,655","244,380","145,907,806",Public,Commercial,Gadus macrocephalus,164711,AKFIN
2009,ALASKA,"COD, PACIFIC","491,072,879","222,749","98,506,890",Public,Commercial,Gadus macrocephalus,164711,AKFIN
2008,ALASKA,"COD, PACIFIC","493,968,564","224,063","281,562,082",Public,Commercial,Gadus macrocephalus,164711,AKFIN
2007,ALASKA,"COD, PACIFIC","488,536,540","221,599","224,726,808",Public,Commercial,Gadus macrocephalus,164711,AKFIN
2006,ALASKA,"COD, PACIFIC","517,799,333","234,872","196,763,747",Public,Commercial,Gadus macrocephalus,164711,AKFINHIST
2005,ALASKA,"COD, PACIFIC","546,748,030","248,003","149,808,960",Public,Commercial,Gadus macrocephalus,164711,AKFINHIST
2004,ALASKA,"COD, PACIFIC","587,337,007","266,414","147,421,589",Public,Commercial,Gadus macrocephalus,164711,AKFINHIST
2003,ALASKA,"COD, PACIFIC","564,561,894","256,084","158,077,330",Public,Commercial,Gadus macrocephalus,164711,AKFINHIST
2002,ALASKA,"COD, PACIFIC","510,758,682","231,679","95,157,191",Public,Commercial,Gadus macrocephalus,164711,AKFINHIST
2001,ALASKA,"COD, PACIFIC","470,768,496","213,539","117,604,636",Public,Commercial,Gadus macrocephalus,164711,AKFINHIST
2000,ALASKA,"COD, PACIFIC","529,663,924","240,254","141,941,773",Public,Commercial,Gadus macrocephalus,164711,AKFINHIST
1999,ALASKA,"COD, PACIFIC","523,280,870","237,359","82,925,077",Public,Commercial,Gadus macrocephalus,164711,AKFINHIST
1998,ALASKA,"COD, PACIFIC","588,271,827","266,838","111,816,350",Public,Commercial,Gadus macrocephalus,164711,AKFINHIST
1997,ALASKA,"COD, PACIFIC","696,452,648","315,909","147,039,622",Public,Commercial,Gadus macrocephalus,164711,AKFINHIST
1996,ALASKA,"COD, PACIFIC","612,275,884","277,727","116,280,895",Public,Commercial,Gadus macrocephalus,164711,AKFINHIST
1995,ALASKA,"COD, PACIFIC","597,760,115","271,142","114,342,440",Public,Commercial,Gadus macrocephalus,164711,AKFINHIST
1994,ALASKA,"COD, PACIFIC","459,169,607","208,278","82,302,096",Public,Commercial,Gadus macrocephalus,164711,AKFINHIST
1993,ALASKA,"COD, PACIFIC","425,237,935","192,887","72,918,495",Public,Commercial,Gadus macrocephalus,164711,AKFINHIST
1992,ALASKA,"COD, PACIFIC","552,594,158","250,655","125,313,941",Public,Commercial,Gadus macrocephalus,164711,AKFINHIST
1991,ALASKA,"COD, PACIFIC","507,895,347","230,380","113,588,684",Public,Commercial,Gadus macrocephalus,164711,AKFINHIST
1990,ALASKA,"COD, PACIFIC","523,768,974","237,580","91,769,437",Public,Commercial,Gadus macrocephalus,164711,AKFINHIST
1989,ALASKA,"COD, PACIFIC","364,722,691","165,437","55,273,590",Public,Commercial,Gadus macrocephalus,164711,AKFINHIST
1988,ALASKA,"COD, PACIFIC","260,281,201","118,063","36,914,772",Public,Commercial,Gadus macrocephalus,164711,AKFINHIST
1987,ALASKA,"COD, PACIFIC","163,562,447","74,191","28,909,134",Public,Commercial,Gadus macrocephalus,164711,AKFINHIST
1986,ALASKA,"COD, PACIFIC","87,394,363","39,642","9,136,446",Public,Commercial,Gadus macrocephalus,164711,AKFINHIST
1985,ALASKA,"COD, PACIFIC","94,352,930","42,798","12,350,992",Public,Commercial,Gadus macrocephalus,164711,AKFINHIST
1984,ALASKA,"COD, PACIFIC","60,948,762","27,646","10,167,127",Public,Commercial,Gadus macrocephalus,164711,AKFINHIST
1983,ALASKA,"COD, PACIFIC","81,219,931","36,841","10,558,591",Public,Commercial,Gadus macrocephalus,164711,AKFINHIST
1982,ALASKA,"COD, PACIFIC","38,645,716","17,530","5,023,943",Public,Commercial,Gadus macrocephalus,164711,AKFINHIST
1981,ALASKA,"COD, PACIFIC","16,771,447","7,607","2,180,288",Public,Commercial,Gadus macrocephalus,164711,AKFINHIST
1980,ALASKA,"COD, PACIFIC","12,805,035","5,808","2,605,288",Public,Commercial,Gadus macrocephalus,164711,AKFINHIST
1979,ALASKA,"COD, PACIFIC","3,468,037","1,573","963,801",Public,Commercial,Gadus macrocephalus,164711,AKFINHIST
1978,ALASKA,"COD, PACIFIC","1,807,691",820,"555,174",Public,Commercial,Gadus macrocephalus,164711,AKFINHIST
1977,ALASKA,"COD, PACIFIC","625,300",284,"120,425",Public,Commercial,Gadus macrocephalus,164711,AKFINHIST
1976,ALASKA,"COD, PACIFIC","494,000",224,"116,921",Public,Commercial,Gadus macrocephalus,164711,AKFINHIST
1975,ALASKA,"COD, PACIFIC","327,400",149,"33,046",Public,Commercial,Gadus macrocephalus,164711,AKFINHIST
1974,ALASKA,"COD, PACIFIC","423,200",192,"83,658",Public,Commercial,Gadus macrocephalus,164711,AKFINHIST
1973,ALASKA,"COD, PACIFIC","158,600",72,"36,500",Public,Commercial,Gadus macrocephalus,164711,AKFINHIST
1972,ALASKA,"COD, PACIFIC","97,800",44,"17,233",Public,Commercial,Gadus macrocephalus,164711,AKFINHIST
1970,ALASKA,"COD, PACIFIC","203,200",92,"19,632",Public,Commercial,Gadus macrocephalus,164711,AKFINHIST
1969,ALASKA,"COD, PACIFIC","48,500",22,"5,816",Public,Commercial,Gadus macrocephalus,164711,AKFINHIST
1959,ALASKA,"COD, PACIFIC","7,565",3,378,Public,Commercial,Gadus macrocephalus,164711,AKFINHIST
1958,ALASKA,"COD, PACIFIC","12,330",6,370,Public,Commercial,Gadus macrocephalus,164711,AKFINHIST
1957,ALASKA,"COD, PACIFIC","2,583",1,77,Public,Commercial,Gadus macrocephalus,164711,AKFINHIST
1956,ALASKA,"COD, PACIFIC","6,170",3,108,Public,Commercial,Gadus macrocephalus,164711,AKFINHIST
1955,ALASKA,"COD, PACIFIC","119,001",54,"2,082",Public,Commercial,Gadus macrocephalus,164711,AKFINHIST
1950,ALASKA,"COD, PACIFIC","858,318",389,"22,676",Public,Commercial,Gadus macrocephalus,164711,AKFINHIST
1998,ALASKA,"CONCHS, TRUE **",64,0,1,Public,Commercial,Strombus,72555,AKFINHIST
1997,ALASKA,"CONCHS, TRUE **","855,173",388,"308,717",Public,Commercial,Strombus,72555,AKFINHIST
1996,ALASKA,"CONCHS, TRUE **","3,512,440","1,593","1,053,732",Public,Commercial,Strombus,72555,AKFINHIST
1995,ALASKA,"CONCHS, TRUE **","2,330,454","1,057","699,136",Public,Commercial,Strombus,72555,AKFINHIST
1994,ALASKA,"CONCHS, TRUE **","1,964,895",891,"691,643",Public,Commercial,Strombus,72555,AKFINHIST
1993,ALASKA,"CONCHS, TRUE **","312,876",142,"125,150",Public,Commercial,Strombus,72555,AKFINHIST
1988,ALASKA,"CONCHS, TRUE **",873,0,88,Public,Commercial,Strombus,72555,AKFINHIST
1979,ALASKA,CORALS **,225,0,844,Public,Commercial,Anthozoa,51938,AKFINHIST
1978,ALASKA,CORALS **,"1,510",1,"5,663",Public,Commercial,Anthozoa,51938,AKFINHIST
2023,ALASKA,"CRAB, DUNGENESS","7,452,078","3,380","14,756,866",Public,Commercial,Cancer magister,98675,AKFIN
2022,ALASKA,"CRAB, DUNGENESS","7,914,608","3,590","19,688,572",Public,Commercial,Cancer magister,98675,AKFIN
2021,ALASKA,"CRAB, DUNGENESS","9,039,762","4,100","37,986,127",Public,Commercial,Cancer magister,98675,AKFIN
